conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
philip| Im sure we can lelts go to that fish store near the mall| [person:philip_and_kathleen g(philip:kathleen) 2-2][location:mall s 12-12]
philip| I think I saw a book section the other day| [person:philip m 0-0][person:philip m 2-2]
kathleen| That would be great I think there is a nice book store there as well I m sure we could ask if they know of something he would like| [person:kathleen f 4-4][location:mall s 6-6][person:kathleen f 15-15][person:philip_and_kathleen g(philip:kathleen) 18-18][person:kathleen_s_parents g() 22-22][person:philip m 26-26]
philip| yeah if not we can always buy Phillip cool fishing wear| [person:philip_and_kathleen g(philip:kathleen) 3-3][person:philip m 7-7]
kathleen| I don t know much about fishing so I have no clue what to look for| [person:kathleen f 0-0][person:kathleen f 8-8]
philip| I dont know much either but we can ask around| [person:philip m 0-0][person:philip_and_kathleen g(philip:kathleen) 6-6]
philip| see you in a few minutes then| [person:kathleen f 1-1]
kathleen| Sounds great|
philip| ok bye|

conv:people_2019080801_20:aug_0:chat_0:chataug_0| martin timothy| [person:martin m 0-0][person:timothy m 1-1]
timothy| you Martin what is up homie| [person:martin m 0-0][person:martin m 1-1]
timothy| It ihas been so long|
timothy| i have exciting news| [person:timothy m 0-0]
martin| What is the news|
martin| and whats up I miss you| [person:martin m 3-3][person:timothy m 5-5]
timothy| I am going to be on Jeopardy| [person:timothy m 0-0]
timothy| It is real|
timothy| i Swear| [person:timothy m 0-0]
martin| no way|
martin| I thought I heard that but didn t believe it| [person:martin m 0-0][person:martin m 2-2]
martin| you are as smart as a box of rocks lol| [person:timothy m 0-0]
timothy| I am bringing one person| [person:timothy m 0-0]
timothy| I was hoping it was you| [person:timothy m 0-0][person:martin m 5-5]
timothy| so you can teach me how to learn| [person:martin m 1-1][person:timothy m 4-4]
martin| will do|
martin| I am excited| [person:martin m 0-0]

conv:people_2019080801_21:aug_0:chat_0:chataug_0| danielle diane| [person:danielle f 0-0][person:diane f 1-1]
diane| Hi Danielle My cousins Patrick and Sherrie are coming to town| [person:danielle f 1-1][person:diane f 2-2][person:cousins g() 3-3][person:patrick m 4-4][person:sherrie f 6-6][location:town s 10-10]
danielle| That s great What will you do with them| [person:diane f 5-5][person:cousins g(patrick:sherrie) 8-8]
diane| Well I was wondering if you could help me out| [person:diane f 1-1][person:danielle f 5-5][person:diane f 8-8]
danielle| Sure what can I help with| [person:danielle f 3-3]
diane| I m working when they get in having a meeting and wondering if you could pick them up and take them to Union Station then for lunch| [person:diane f 0-0][person:cousins g(patrick:sherrie) 4-4][person:danielle f 13-13][person:cousins g(patrick:sherrie) 16-16][person:cousins g(patrick:sherrie) 20-20][location:station s 23-23]
danielle| What time|
diane| 300 PM Wednesday|
danielle| Sure no problem I can take them for Chinese at the new restaurant| [person:danielle f 3-3][person:cousins g(patrick:sherrie) 6-6][location:restaurant s 12-12]
diane| Thank you Danielle| [person:danielle f 1-1][person:danielle f 2-2]
danielle| You are welcome| [person:diane f 0-0]
diane| You are the best friend| [person:danielle f 0-0][person:danielle f 4-4]
danielle| No you are the best| [person:diane f 1-1]
danielle| Partick will be interesting to meet|
diane| I can t wait to see my cousins I haven t seen them in so long| [person:diane f 0-0][person:diane f 6-6][person:cousins g(patrick:sherrie) 7-7][person:diane f 8-8][person:cousins g(patrick:sherrie) 12-12]
danielle| I m sure you will have a wonderful time| [person:danielle f 0-0][person:diane f 3-3]

conv:people_2019080801_22:aug_0:chat_0:chataug_0| alan sophia| [person:alan m 0-0][person:sophia f 1-1]
alan| Hi friend| [person:sophia f 1-1]
sophia| Hi Alan| [person:alan m 1-1]
alan| Did you talk to Chloe recently| [person:sophia f 1-1][person:chloe f 4-4]
sophia| Yes I have why| [person:sophia f 1-1]
alan| Just curious about the party|
sophia| Ah yes i am looking forward to it| [person:sophia f 2-2]
alan| Did Chloe make reservations for the party| [person:chloe f 1-1]
sophia| Not entirely sure|
alan| Can you try to find out since I think you are meeting up with her soon anyways| [person:sophia f 1-1][person:alan m 7-7][person:sophia f 9-9][person:chloe f 14-14]
sophia| Sure I am meeting up with her later anyways| [person:sophia f 1-1][person:chloe f 6-6]
alan| Perfect looking forward to the respond|
sophia| I forgot my phone thats why I couldn t reply| [person:sophia f 0-0][person:sophia f 2-2][person:sophia f 6-6]
alan| No wonder you didn t reply to my messages| [person:sophia f 2-2][person:alan m 7-7]

conv:people_2019080801_23:aug_0:chat_0:chataug_0| eric matt| [person:eric m 0-0][person:matt m 1-1]
eric| hey matt| [person:matt m 1-1]
matt| Hello Eric| [person:eric m 1-1]
eric| Are we still going to watch the game| [person:we g(eric:matt) 1-1]
matt| yeah which day|
eric| Does this Saturday work for you| [person:matt m 5-5]
matt| no problem but we need to confirm with Walter and Kenneth| [person:we g(eric:matt) 3-3][person:walter m 8-8][person:kenneth m 10-10]
eric| kindly do|
matt| so which game are we going to watch| [person:we g(eric:matt) 4-4]
eric| Houston Astros or what do you think| [person:matt m 5-5]
matt| Walter and Kenneth are Texas rangers fans| [person:walter m 0-0][person:kenneth m 2-2][location:texas s 4-4][person:rangers g() 5-5]
eric| what do we do| [person:we g(eric:matt) 2-2]
matt| i think we can watch both| [person:matt m 0-0][person:we g(eric:matt) 2-2]
eric| then no problem if they agree| [person:they g(walter:kenneth) 4-4]
matt| let me check with them i ll let you know| [person:matt m 1-1][person:they g(walter:kenneth) 4-4][person:matt m 5-5][person:eric m 8-8]

conv:people_2019080801_24:aug_0:chat_0:chataug_0| amber kathryn| [person:amber f 0-0][person:kathryn f 1-1]
kathryn| Hey Amber| [person:amber f 1-1]
amber| Hey Kathyrn|
amber| how are you| [person:amber f 2-2]
amber| it has been a long time|
amber| My parents are visiting and I don t know what to do with them| [person:amber f 0-0][person:parents g() 1-1][person:amber f 5-5][person:them g() 13-13]
kathryn| Well if you are asking for recommendations| [person:amber f 2-2]
kathryn| I have a few| [person:kathryn f 0-0]
kathryn| go hiking and go to the mall| [location:mall s 6-6]
amber| Those both sound so fun|
amber| i think i will do that for real| [person:amber f 0-0][person:amber f 2-2]
amber| thanks so much|
kathryn| youre so welcome| [person:amber f 0-0]
kathryn| let me come if I can| [person:kathryn f 1-1][person:kathryn f 4-4]
kathryn| I need to get away from Eduardo and Mary| [person:kathryn f 0-0][person:eduardo m 6-6][person:mary f 8-8]
amber| Come along it will be fun|

conv:people_2019080801_25:aug_0:chat_0:chataug_0| brittany sharon| [person:brittany f 0-0][person:sharon f 1-1]
sharon| hi|
brittany| hi|
brittany| how are you sharon| [person:sharon f 2-2][person:sharon f 3-3]
sharon| I am oh so well Brittany| [person:sharon f 0-0][person:brittany f 5-5]
sharon| how about yourself| [person:yourself g(sharon:brittany) 2-2]
brittany| I am good| [person:brittany f 0-0]
brittany| have a problem though|
brittany| we are attending the uncle and aunts anniversary as you know| [person:we g(sharon:brittany) 0-0][person:sharon f 9-9]
sharon| oh yea|
sharon| aren t we doing something special for them| [person:we g(sharon:brittany) 2-2][person:them g(brittany) 7-7]
brittany| yea we are recollecting pieces| [person:brittany f 1-1]
brittany| have any|
sharon| O yes I do| [person:sharon f 2-2]
sharon| I will bring them to the party| [person:sharon f 0-0][person:them g(brittany) 3-3]
sharon| it is of the city| [location:city s 4-4]
brittany| nice that is exactly what we ned| [person:we g(sharon:brittany) 5-5]

conv:people_2019080801_26:aug_0:chat_0:chataug_0| kayla stephanie| [person:kayla f 0-0][person:stephanie f 1-1]
stephanie| Hey kayla| [person:kayla f 1-1]
stephanie| how has my favorite person been| [person:stephanie f 2-2]
kayla| Stephanie| [person:stephanie f 0-0]
kayla| omg i missed you so much| [person:kayla f 1-1][person:stephanie f 3-3]
kayla| we need to hangout| [person:we g(stephanie:kayla) 0-0]
kayla| are you going to the Johnson s party| [person:stephanie f 1-1][person:johnson u 5-5]
stephanie| Heck yea I am| [person:stephanie f 2-2]
stephanie| Want to go with me| [person:kayla f 4-4]
stephanie| we can share a gift too| [person:we g(stephanie:kayla) 0-0]
stephanie| Jeffrey and Marilyn are coming| [person:jeffrey m 0-0][person:marilyn f 2-2]
stephanie| they dislike the Johnsons| [person:they g(jeffrey:marilyn) 0-0][person:johnson u 3-3]
stephanie| but we can still get a gift| [person:we g(stephanie:kayla) 1-1]
kayla| yikes not them| [person:they g(jeffrey:marilyn) 2-2]
kayla| lets get a gift of flaming dog poo|
kayla| what do you think| [person:stephanie f 2-2]
stephanie| heck yes|

conv:people_2019080801_27:aug_0:chat_0:chataug_0| aaron doug| [person:aaron m 0-0][person:doug m 1-1]
doug| Aaron do you want to go watch the Astros Wednesday| [person:aaron m 0-0][person:aaron m 2-2]
aaron| Hey Doug Who are they playing| [person:doug m 1-1][person:astros g() 4-4]
doug| The Angels 8pm|
aaron| I m down but you know Richard and Samuel wanted to tag along and they are huge Rangers fans Would you be okay going to one of their games instead| [person:aaron m 0-0][person:doug m 4-4][person:richard m 6-6][person:samuel m 8-8][person:they g(richard:samuel) 14-14][person:rangers g() 17-17][person:doug m 20-20][person:rangers g() 27-27]
doug| No way man I can t stand the Rangers| [person:doug m 3-3][person:rangers g() 8-8]
aaron| I thought you d say that When do they play each other| [person:aaron m 0-0][person:doug m 2-2][person:astros g() 8-8]
doug| Ohh actually next week Friday 9pm That just might work|
aaron| Awesome I think that s definitely the best option for everyone How much are tickets| [person:aaron m 1-1][person:everyone g(doug:aaron:richard:samuel) 10-10]
doug| 30 for terrace 50 for lower seating Should I buy them| [person:doug m 8-8]
aaron| No let me make sure they re coming and I ll buy them Lower seating right| [person:aaron m 2-2][person:they g(richard:samuel) 5-5][person:aaron m 9-9]
doug| For this game you bet| [person:aaron m 3-3]
aaron| Alright I ll text you once I have them| [person:aaron m 1-1][person:doug m 4-4][person:aaron m 6-6]
doug| Cool Thanks man|

conv:people_2019080801_28:aug_0:chat_0:chataug_0| lara natalie| [person:lara f 0-0][person:natalie f 1-1]
natalie| Lara whats up| [person:lara f 0-0]
lara| Not too much how have you been| [person:natalie f 5-5]
lara| It has been a minute|
natalie| I have been great| [person:natalie f 0-0]
natalie| I learned how to play soccer| [person:natalie f 0-0]
natalie| can you believe that| [person:lara f 1-1]
natalie| it is so fun i tell you| [person:natalie f 4-4][person:lara f 6-6]
lara| No way|
lara| I love it too| [person:lara f 0-0]
lara| I am trying to teach Sandra how to play| [person:lara f 0-0][person:sandra f 5-5]
lara| she has been wanting to play for a long time now| [person:sandra f 0-0]
lara| can we let her play one time| [person:we g(natalie:lara) 1-1][person:sandra f 3-3]
natalie| yea that is totally fine with me| [person:natalie f 6-6]
natalie| lets do it|

conv:people_2019080801_31:aug_0:chat_0:chataug_0| dwight jordan| [person:dwight m 0-0][person:jordan m 1-1]
dwight| hello|
dwight| are we still on for the movie| [person:we g(dwight:jordan) 1-1]
jordan| hey I am good| [person:jordan m 1-1]
jordan| How is Sunday|
dwight| Sunday sound perfect for me| [person:dwight m 4-4]
jordan| Should I invite Andrew and Philip| [person:jordan m 1-1][person:andrew m 3-3][person:philip m 5-5]
dwight| I have no problem with Andrew but Philip may want us to watch a horror movie which I dont want| [person:dwight m 0-0][person:andrew m 5-5][person:philip m 7-7][person:us g(dwight:jordan:andrew:philip) 10-10][person:dwight m 17-17]
jordan| Oh yah I dont like his movie preference too| [person:jordan m 2-2][person:philip m 5-5]
jordan| so let its me you and Philip right| [person:jordan m 3-3][person:dwight m 4-4][person:philip m 6-6]
dwight| That is right let me get the tickets| [person:dwight m 4-4]
jordan| Thanks I am looking forward to it| [person:jordan m 1-1]
dwight| please do Call Andrew and let him know about the plans| [person:andrew m 3-3][person:andrew m 6-6]

conv:people_2019080801_33:aug_0:chat_0:chataug_0| james roger| [person:james m 0-0][person:roger m 1-1]
james| Hey Roger| [person:roger m 1-1]
roger| James How are you| [person:james m 0-0][person:james m 3-3]
james| Great but a little stressed I m trying to throw a part for Jerry and Tiffany Eugene and have no idea where to start| [person:james m 5-5][person:jerry m 13-13][person:tiffany f 15-15][person:eugene m 16-16]
roger| Oh i know Planning a party can be SO stressful| [person:roger m 1-1]
james| You ve got that right I know them both pretty well but not specifics like their favorite snacks or beverages| [person:roger m 0-0][person:james m 5-5][person:them g(jerry:tiffany) 7-7][person:them g(jerry:tiffany) 15-15]
roger| You know our friend Raymond is always going out to dinner and grabbing drinks with them| [person:james m 0-0][person:our g(james:roger) 2-2][person:raymond m 3-3][person:raymond m 4-4][person:them g(jerry:tiffany) 15-15]
roger| He may have more insight on those kind of details| [person:raymond m 0-0]
james| You re right| [person:roger m 0-0]
james| Excellent idea i hadn t even thought about reaching out to Raymond| [person:james m 2-2][person:raymond m 11-11]
roger| You should most definitely reach out to him He s super nice and would t mind helping out| [person:james m 0-0][person:raymond m 7-7][person:raymond m 8-8]
james| Will do Where do you think i should have it| [person:roger m 4-4][person:james m 6-6]
roger| Again i think Raymond would no best on all of these topics Hit him up| [person:roger m 1-1][person:raymond m 3-3][person:raymond m 13-13]
james| Okay i will Thanks again Roger| [person:james m 1-1][person:roger m 5-5]
roger| No problem Talk to you later| [person:james m 4-4]

conv:people_2019080801_35:aug_0:chat_0:chataug_0| adam alice| [person:adam m 0-0][person:alice f 1-1]
adam| Hey Alice good to see you how is life these days| [person:alice f 1-1][person:alice f 5-5]
alice| Adam you old snort life is good very good Say via the rumor mill I heard you are having a party is this true| [person:adam m 0-0][person:adam m 1-1][person:alice f 14-14][person:adam m 16-16]
adam| Yes my dear Alice it is and of course you are invited can you come| [person:adam m 1-1][person:alice f 3-3][person:alice f 9-9][person:alice f 13-13]
alice| Yes of course I will be there| [person:alice f 3-3]
adam| Say you know our mutual friend Rebecca I asked her to make a reservation for my party at a nice restuarant I know but I haven t heard from her how its going could you talk with her| [person:alice f 1-1][person:our g(adam:alice) 3-3][person:rebecca f 5-5][person:rebecca f 6-6][person:adam m 7-7][person:rebecca f 9-9][person:adam m 15-15][person:adam m 21-21]
alice| Of course I will see her later today andd then I will get back to you does that work| [person:alice f 2-2][person:rebecca f 5-5][person:alice f 10-10][person:adam m 15-15]
adam| Yah great ok talk with you later then have a good day| [person:alice f 5-5]
alice| calls Adam via the phone Adam Alice here do you have a moment i did what you asked| [person:adam m 1-1][person:adam m 5-5][person:alice f 6-6][person:adam m 9-9][person:alice f 13-13][person:adam m 16-16]
adam| Yeh go ahead please what is the news|
alice| Rebecca told me she made the reservation so that is all done and she couldn t call you because she forgot to take her mobile phone so its all good| [person:rebecca f 0-0][person:alice f 2-2][person:rebecca f 3-3][person:rebecca f 13-13][person:adam m 17-17][person:rebecca f 19-19][person:rebecca f 23-23]
adam| Great great thanks Alice for your help your amazin speak to you again soon bye| [person:alice f 3-3][person:alice f 5-5][person:alice f 7-7][person:alice f 11-11]

conv:people_2019080801_37:aug_0:chat_0:chataug_0| eric juan| [person:eric m 0-0][person:juan m 1-1]
juan| Hey Eric do you have any good recommendations for a sports bar to watch the Super Bowl| [person:eric m 1-1][person:eric m 3-3][location:sports_bar s 10-11]
eric| Hey Juan Grady s on E 233 street is a good place| [person:juan m 1-1][location:street s 7-7][location:place s 11-11]
juan| My brother Nate and his friend Albert are going to visit and I want to show them a good time| [person:juan m 0-0][person:nate m 1-1][person:nate m 4-4][person:albert m 5-5][person:albert m 6-6][person:juan m 12-12][person:them g(nate:albert) 16-16]
eric| Grady s definitely will work then|
juan| Do you have plans for the game If not it would be cool if you watch with us| [person:eric m 1-1][person:eric m 14-14][person:us g(juan:nate:albert) 17-17]
eric| I was supposed to go to Jersey to my Aunt and Uncles but I m sure I can get out of it| [person:eric m 0-0][person:eric m 8-8][person:aunt f 9-9][person:eric m 13-13][person:eric m 16-16]
eric| I m in| [person:eric m 0-0]
juan| Sweet Should be a good time|
juan| Thanks again for the recomendation|
eric| Awesome I ll text you on Sunday What time you want to get there| [person:eric m 1-1][person:juan m 4-4][person:juan m 9-9]
juan| Maybe 4|
eric| Sounds great|
eric| Alright this is going to be fun Looking forward to meeting your brother and his friend| [person:juan m 11-11][person:nate m 12-12][person:nate m 14-14][person:albert m 15-15]

conv:people_2019080801_39:aug_0:chat_0:chataug_0| marie victoria| [person:marie f 0-0][person:victoria f 1-1]
marie| Hello|
victoria| hello|
marie| How are you I feel like I have not seen you in a while| [person:victoria f 2-2][person:marie f 3-3][person:marie f 6-6][person:victoria f 10-10]
victoria| I have been doing good Yea we definetely need to catch up sometime soon How about dinner| [person:victoria f 0-0][person:we g(marie:victoria) 6-6]
marie| Dinner sound great What day works for you| [person:victoria f 7-7]
victoria| Oh wait actually I can t do dinner Joshua has a company event How about lunch| [person:victoria f 3-3][person:joshua m 8-8]
marie| Lunch is fine How about next Friday|
victoria| That sounds good too me Will your husband be tagging along| [person:victoria f 4-4][person:marie f 6-6][person:husband m 7-7]
marie| Of course he will I was thinking about 2 p m Is that OK| [person:husband m 2-2][person:marie f 4-4]
victoria| Yea that s great|
victoria| see you then| [person:marie f 1-1]
marie| Cant wait to see you| [person:victoria f 4-4]
victoria| Same here is has been soooo long since we saw each other| [person:we g(marie:victoria) 8-8]
victoria| Actually forgot to ask where are we having dinner| [person:we g(marie:victoria:joshua:husband) 6-6]
victoria| silly me| [person:victoria f 1-1]
victoria| Lucille s fine|
marie| Yes I love that place| [person:marie f 1-1][location:place s 4-4]
marie| I will make a reservation| [person:marie f 0-0]
marie| Ok I have to go now See you soon Bye| [person:marie f 1-1][person:victoria f 7-7]
victoria| okay bye|

conv:people_2019080801_41:aug_0:chat_0:chataug_0| arthur ruth| [person:arthur m 0-0][person:ruth f 1-1]
arthur| Hi i am on my way home from work| [person:arthur m 1-1][person:arthur m 4-4][location:home s 6-6]
ruth| Good for you Why did you tell me that| [person:arthur m 2-2][person:arthur m 5-5][person:ruth f 7-7]
arthur| Well we invited lauren leslie philip and larry over for dinner| [person:we g(arthur:ruth) 1-1][person:lauren f 3-3][person:leslie f 4-4][person:philip m 5-5][person:larry m 7-7]
ruth| I know that| [person:ruth f 0-0]
arthur| So i wanted to tell you to decide if i need to pick up anything to prepare for the dinner| [person:arthur m 1-1][person:ruth f 5-5][person:arthur m 9-9]
ruth| That makes sense We should determine what everyone likes| [person:we g(arthur:ruth) 3-3][person:everyone g(arthur:ruth:lauren:leslie:philip:larry) 7-7]
arthur| I think we should make a few dish everyone likes and agree on| [person:arthur m 0-0][person:we g(arthur:ruth) 2-2][person:everyone g(arthur:ruth:lauren:leslie:philip:larry) 8-8]
ruth| How about pasta and a salad some appetizers like mussels and clam steam|
arthur| That sounds really good|
ruth| I think so e fruit pie or cakes and ice cream for desert as well| [person:ruth f 0-0]
arthur| I am with you in that| [person:arthur m 0-0][person:ruth f 3-3]
ruth| So you know what to pick up then year we have pasta at home the other stuff we do need fresh tomatoes and desert are important and veggies for salad| [person:arthur m 1-1][person:we g(arthur:ruth) 9-9][location:home s 13-13][person:we g(arthur:ruth) 17-17]
arthur| I got it see you in a bit get ready to do some cooking| [person:arthur m 0-0][person:ruth f 4-4]
ruth| See you| [person:arthur m 1-1]

conv:people_2019080801_42:aug_0:chat_0:chataug_0| henry walter| [person:henry m 0-0][person:walter m 1-1]
henry| Hey Walter I want to throw a party for the Benjamin s| [person:walter m 1-1][person:henry m 2-2][person:benjamin m 10-10]
walter| That sounds like a great idea Henry Where did you want to throw it| [person:henry m 6-6][person:henry m 9-9]
henry| Well I know Tyler and Cameron like Andiamos So maybe I will throw it there| [person:henry m 1-1][person:tyler m 3-3][person:cameron f 5-5][person:henry m 10-10]
walter| That might not be a bad idea Maybe you should also get Evan s input He knows best| [person:henry m 8-8][person:evan m 12-12][person:evan m 15-15]
henry| Ok I will give him a call When do you think I should throw it| [person:henry m 1-1][person:him m 4-4][person:walter m 9-9][person:henry m 11-11]
walter| I think the Saturday of Labor Day weekend would be a great time| [person:walter m 0-0]
henry| Yes I agree People will have an extra day to cure their hangovers| [person:henry m 1-1][person:their g(henry:walter) 11-11]
walter| Ok cool So talk to Evan and let me know what you figure out| [person:evan m 5-5][person:walter m 8-8][person:henry m 11-11]
henry| Sounds good Walter Thank you for your help Talk to you soon| [person:walter m 2-2][person:walter m 4-4][person:your u 6-6][person:walter m 10-10]
walter| Bye By the way It is good that your showing initiative on this party| [person:henry m 8-8]
henry| Thanks|

conv:people_2019080801_44:aug_0:chat_0:chataug_0| eric matt| [person:eric m 0-0][person:matt m 1-1]
eric| hey matt| [person:matt m 1-1]
matt| Hello Eric| [person:eric m 1-1]
eric| Are we still going to watch the game| [person:we g(eric:matt) 1-1]
matt| yeah which day|
eric| Does this Saturday work for you| [person:matt m 5-5]
matt| no problem but we need to confirm with Walter and Kenneth| [person:we g(eric:matt) 3-3][person:walter m 8-8][person:kenneth m 10-10]
eric| kindly do|
matt| so which game are we going to watch| [person:we g(eric:matt) 4-4]
eric| Houston Astros or what do you think| [person:matt m 5-5]
matt| Walter and Kenneth are Texas rangers fans| [person:walter m 0-0][person:kenneth m 2-2][location:texas s 4-4][person:rangers g() 5-5]
eric| what do we do| [person:we g(eric:matt) 2-2]
matt| i think we can watch both| [person:matt m 0-0][person:we g(eric:matt) 2-2]
eric| then no problem if they agree| [person:they g(walter:kenneth) 4-4]
matt| let me check with them i ll let you know| [person:matt m 1-1][person:they g(walter:kenneth) 4-4][person:matt m 5-5][person:eric m 8-8]

conv:people_2019080801_45:aug_0:chat_0:chataug_0| alan sophia| [person:alan m 0-0][person:sophia f 1-1]
alan| Hey Sophia I have a favor to ask of your for the party| [person:sophia f 1-1][person:alan m 2-2][person:sophia f 9-9]
sophia| I m looking forward to the party What kind of help do you need| [person:sophia f 0-0][person:alan m 12-12]
alan| I asked Chloe to make a reservation for everyone but now I can t get in touch with her Can you find out if she made it| [person:alan m 0-0][person:chloe f 2-2][person:everyone g(alan:sophia:chloe) 8-8][person:alan m 11-11][person:chloe f 18-18][person:sophia f 20-20][person:chloe f 24-24]
sophia| Sure I m going to see her in a little bit and will ask her then| [person:sophia f 1-1][person:chloe f 6-6][person:chloe f 14-14]
alan| Perfect Let me know what you find out| [person:alan m 2-2][person:sophia f 5-5]
sophia| I just had lunch with Chloe and she said the reservation is all set| [person:sophia f 0-0][person:chloe f 5-5][person:chloe f 7-7]
alan| That s good Do you know if she made it for everyone| [person:sophia f 4-4][person:chloe f 7-7][person:everyone g(alan:sophia:chloe) 11-11]
sophia| Yes she said she made it for the whole group| [person:chloe f 1-1][person:chloe f 3-3]
alan| Perfect I wonder why she didn t respond to me earlier| [person:alan m 1-1][person:chloe f 4-4][person:alan m 9-9]
sophia| Oh I forgot to tell you She forgot her phone at home and that s why she didn t reply to you directly She was going home after lunch so you should be able to reach her soon| [person:sophia f 1-1][person:alan m 5-5][person:chloe f 6-6][person:chloe f 8-8][person:chloe f 16-16][person:alan m 21-21][person:chloe f 23-23][person:alan m 30-30]
alan| Ah that makes perfect sense Thanks for your help| [person:sophia f 7-7]
sophia| No problem See you at the party| [person:alan m 3-3]

conv:people_2019080801_46:aug_0:chat_0:chataug_0| amy shirley| [person:amy f 0-0][person:shirley f 1-1]
amy| hi Shirley| [person:shirley f 1-1]
shirley| Hey Amy| [person:shirley f 1-1]
shirley| How s your visit going| [person:amy f 2-2]
amy| it s going great|
amy| any idea what all 4 of us can do together| [person:us g(amy:shirley) 6-6]
shirley| I was thinking we could do lunch at that outdoor cafe| [person:shirley f 0-0][person:us g(amy:shirley) 3-3][location:cafe s 10-10]
amy| that sounds great|
amy| any lunch spot you have in mind| [person:shirley f 3-3]
shirley| And then maybe after we could catch a movie but I know that you and Jessica probably want to watch a different movie from us| [person:us g(amy:shirley) 4-4][person:shirley f 10-10][person:amy f 13-13][person:jessica f 15-15][person:us g(shirley) 24-24]
amy| true they have different taste| [person:they g(shirley) 1-1]
amy| what lunch spot is good|
shirley| We could go to that little French cafe| [person:us g(amy:shirley:jessica) 0-0][location:cafe s 7-7]
amy| that sounds nice|
amy| what about for movies|
shirley| There s a rom com and a horror movie playing at the same time I know your friend would probably prefer the rom com and susan likes horror movies| [person:shirley f 14-14][person:amy f 16-16][person:jessica f 17-17][person:susan f 25-25]
shirley| Let me talk to susan and I ll give you a call in about an hour| [person:shirley f 1-1][person:susan f 4-4][person:shirley f 6-6][person:amy f 9-9]
amy| that sounds fine|

conv:people_2019080801_47:aug_0:chat_0:chataug_0| craig john| [person:craig m 0-0][person:john m 1-1]
craig| Hey John Let s do something fun to celebrate the end of summer| [person:john m 1-1]
john| I like that idea what do you have in mind| [person:john m 0-0][person:craig m 6-6]
craig| I m not sure maybe pool party Or boating| [person:craig m 0-0]
john| You know Steve just got that new boat So we could get a bigger group together since we can t all fit on yours| [person:craig m 0-0][person:steve m 2-2][person:we g(craig:john:steve) 9-9][person:we g(craig:john:steve) 17-17][person:craig m 23-23]
craig| Oh yeah Let s get a hold of Steve and see if he s in for this weekend| [person:steve m 8-8][person:steve m 12-12]
john| OK I ll text him Who else should we get| [person:john m 1-1][person:steve m 4-4][person:we g(craig:john:steve) 8-8]
craig| Well I know Kevin Joseph and Anthony haven t left for school yet Maybe they d want to go| [person:craig m 1-1][person:kevin m 3-3][person:joseph m 4-4][person:anthony m 6-6][location:school s 11-11][person:they g(kevin:joseph:anthony) 14-14]
john| Yeah Joseph is a natural when it comes to skiing and Kevin didn t get to go with us last time| [person:joseph m 1-1][person:kevin m 11-11][person:us g(craig:john) 18-18]
craig| Now that i think about it Anthony can t swim Maybe he wouldn t want to go| [person:craig m 2-2][person:anthony m 6-6][person:anthony m 11-11]
john| Well I don t think it would hurt to ask We have lots of life jackets and he s such a funny guy We can t have a party without him lol| [person:john m 1-1][person:us g(craig:john) 10-10][person:anthony m 17-17][person:us g(craig:john) 23-23][person:anthony m 30-30]
craig| You re right about that lol| [person:john m 0-0]
john| I ll get a hold of the other guys I can t wait This will be great| [person:john m 0-0][person:john m 9-9]
craig| See ya bro|

conv:people_2019080801_48:aug_0:chat_0:chataug_0| brittany nicole| [person:brittany f 0-0][person:nicole f 1-1]
nicole| Did you get invited to the Johnson s party| [person:brittany f 1-1][person:johnson m 6-6]
brittany| I did You| [person:brittany f 0-0][person:nicole f 2-2]
nicole| Sure did It s a housewarming party so we should bring a gift right| [person:we g(nicole:brittany) 8-8]
brittany| I think that s the etiquette| [person:brittany f 0-0]
brittany| Do you have any ideas| [person:nicole f 1-1]
nicole| Ivan and Dorris have so much money I feel like they have everything| [person:ivan m 0-0][person:nicole f 7-7][person:they g(ivan) 10-10]
brittany| Don t they like fancy food and drinks| [person:they g(ivan) 2-2]
nicole| They do Is that something you can bring to a housewarming party| [person:they g(ivan) 0-0][person:we g(nicole:brittany) 5-5]
brittany| I think so| [person:brittany f 0-0]
nicole| How about a bottle of wine|
brittany| They might be a lot of those though| [person:they g(ivan) 0-0]
nicole| What about wine accessories|
brittany| You think they need any| [person:nicole f 0-0][person:they g(ivan) 2-2]
nicole| I actually overheard Ivan complain that they need a wine chiller| [person:nicole f 0-0][person:ivan m 3-3][person:they g(ivan) 6-6]
brittany| That sounds like a good idea I ll check on amazon| [person:brittany f 6-6]
nicole| Let s keep it under 50 and split the cost|
brittany| Works for me| [person:brittany f 2-2]

conv:people_2019080801_49:aug_0:chat_0:chataug_0| janet theresa| [person:janet f 0-0][person:theresa f 1-1]
janet| Have you registered for next semester yet| [person:theresa f 1-1]
theresa| No I was just thinking about this I just spoke to Denise and know she wants to register for the film class on Thursday mornings| [person:theresa f 1-1][person:theresa f 7-7][person:denise f 11-11][person:denise f 14-14]
janet| That could work for me I also need a history class Are you taking any of those| [person:janet f 4-4][person:janet f 5-5][person:theresa f 12-12]
theresa| I was thinking about taking an Egyptian history class on Friday afternoons| [person:theresa f 0-0]
janet| I think I would like that| [person:janet f 0-0][person:janet f 2-2]
