conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
lara| They are going to love lunch| [person:lara f 0-0]
helen| Yeah they will and so will we| [person:lara f 1-1][person:lara f 6-6]

conv:people_2019090101_315:aug_0:chat_0:chataug_0| christine patricia| [person:christine f 0-0][person:patricia f 1-1]
christine| I really wish you could go boating with me next week| [person:christine f 0-0][person:patricia f 3-3][person:christine f 8-8]
patricia| I wish I could as well but you know my work schedule| [person:patricia f 0-0][person:patricia f 2-2][person:christine f 7-7][person:patricia f 9-9]
christine| Can you just ask for the day off| [person:patricia f 1-1]
patricia| No not next week It s going to be an especially busy week| [location:work s 4-4]
christine| Well who am I supposed to go boating with| [person:christine f 3-3][location:boating s 7-7]
patricia| Wait I have an idea You remember my friend Abigail| [person:patricia f 1-1][person:christine f 5-5][person:patricia f 7-7][person:abigail f 8-8][person:abigail f 9-9]
christine| I think so The girl from the birthday party| [person:christine f 0-0][location:birthday_party s 7-8]
patricia| Yes that s the one She loves doing things like that She would probably go with you| [person:abigail f 5-5][person:abigail f 11-11][person:christine f 16-16]
christine| OK that s a good idea|
patricia| Here I ll give you her phone number and you can give her a call| [location:birthday_party s 0-0][person:patricia f 1-1][person:christine f 4-4][person:abigail f 5-5][person:christine f 9-9][person:abigail f 12-12]

conv:people_2019090101_316:aug_0:chat_0:chataug_0| doug howard| [person:doug m 0-0][person:howard m 1-1]
howard| Hey Doug you excited about the game| [person:doug m 1-1][person:doug m 2-2]
doug| Off course man I ve never been to Anderson s place though| [person:doug m 3-3][person:anderson u 8-8][location:place s 10-10]
howard| I haven t been to his place either I wonder if we should bring him something| [person:howard m 0-0][person:anderson m 5-5][location:place s 6-6][person:howard m 8-8][person:we g(howard:doug) 11-11][person:anderson m 14-14]
doug| I don t know him that well What should we get for him| [person:doug m 0-0][person:anderson m 4-4][person:we g(howard:doug) 9-9][person:anderson m 12-12]
howard| I m lost on the topic too I suggest you ask Nate about it| [person:howard m 0-0][person:howard m 7-7][person:doug m 9-9][person:nate m 11-11]
doug| Why Nate Does he know Anderson better than us| [person:nate m 1-1][person:nate m 3-3][person:anderson m 5-5][person:we g(howard:doug) 8-8]
howard| Yes they ve been friends for a long time| [person:they g(anderson:nate) 1-1][person:they g(anderson:nate) 4-4]
doug| It s been a while I ve spoken to him Let me call him| [person:doug m 5-5][person:howard m 9-9][person:doug m 11-11][person:anderson m 13-13]
howard| Yes you do that Keep me posted as soon as he suggests something| [person:doug m 1-1][person:howard m 5-5][person:anderson m 10-10]
doug| I shall do that I am so psyched about the game Can t wait for it I will keep you posted about what Nate tells me| [person:doug m 0-0][person:doug m 4-4][person:doug m 16-16][person:howard m 19-19][person:nate m 23-23][person:doug m 25-25]

conv:people_2019090101_317:aug_0:chat_0:chataug_0| gregory mike| [person:gregory m 0-0][person:mike m 1-1]
mike| Hey What should we take for the Winston s place| [person:we g(mike:gregory) 3-3][person:winston u 7-7][location:winston_s_place s 9-9]
gregory| I don t really know| [person:gregory m 0-0]
mike| Maybe a nice wine or beer for their collection| [person:their g(winston) 7-7]
gregory| That might be a good idea but I don t know the Winstons too well| [person:gregory m 7-7][person:winston m 12-12]
mike| Yeah neither do I| [person:mike m 3-3]
gregory| Should we ask someone for advice| [person:we g(mike:gregory) 1-1][person:someone u 3-3]
mike| Maybe ask Booby since he knows the Winstons better| [person:winston m 4-4][person:winston m 7-7]
gregory| Oh yeah That s a good idea|
mike| Yep let me know what he says about the suggestion| [person:mike m 2-2][person:winston m 5-5]
gregory| Of course will do|

conv:people_2019090101_318:aug_0:chat_0:chataug_0| cathy lisa| [person:cathy f 0-0][person:lisa f 1-1]
lisa| Hello Cathy| [person:cathy f 1-1]
cathy| Hey Lisa| [person:lisa f 1-1]
lisa| I wanted to ask a favor from you| [person:lisa f 0-0][person:cathy f 7-7]
cathy| Sure tell me| [person:cathy f 2-2]
lisa| Well my friends from school Willie and Rafael are coming to visit me but I am too busy at work so I was wondering if you can show the around| [person:lisa f 1-1][person:friends g() 2-2][person:willie m 5-5][person:rafael m 7-7][person:lisa f 12-12][person:lisa f 14-14][person:lisa f 21-21][person:cathy f 25-25]
cathy| Well I can do that Though can you tell me what they like so I know where to send them too| [person:cathy f 1-1][person:lisa f 7-7][person:cathy f 9-9][person:they g(willie:rafael) 11-11][person:cathy f 14-14][person:them g(willie:rafael) 19-19]
lisa| Oh well they both are quite alcohol drinkers so anything related with alcohol it is great for them and they would have a great time| [person:they g(willie:rafael) 2-2][person:them g(willie:rafael) 17-17][person:they g(willie:rafael) 19-19]
cathy| Anything else they enjoy| [person:they g(willie:rafael) 2-2]
lisa| Besides drinking they also like dancing because they enjoy showing off their dancing skills| [person:they g(willie:rafael) 2-2][person:they g(willie:rafael) 7-7][person:their g(willie:rafael) 11-11]
cathy| Alright So first I will go with them to some beer breweries for some beer tasting and then to some wine tasting farms and later will go with them to a club| [person:cathy f 3-3][person:them g(willie:rafael) 7-7][location:breweries g() 11-11][person:them g(willie:rafael) 28-28][location:club s 31-31]
lisa| That seems perfect You actually will show them a better time than I had planned| [person:cathy f 3-3][person:them g(willie:rafael) 7-7][person:lisa f 12-12]
cathy| Well I want to have fun too so I will enjoy that time myself also| [person:cathy f 1-1][person:cathy f 8-8][person:cathy f 13-13]
lisa| Nice Thank you very much Cathy| [person:cathy f 2-2][person:cathy f 5-5]
cathy| No worries You are welcome Lisa| [person:lisa f 2-2][person:lisa f 5-5]

conv:people_2019090101_320:aug_0:chat_0:chataug_0| heather lawrence| [person:heather f 0-0][person:lawrence m 1-1]
heather| Hey Lawrence| [person:lawrence m 1-1]
lawrence| Hello Heather| [person:heather f 1-1]
heather| You remember that our friends from school Kate and Brenda are coming to visit us right| [person:lawrence m 0-0][person:our g(heather:lawrence) 3-3][person:friends g() 4-4][location:school s 6-6][person:kate f 7-7][person:brenda f 9-9][person:us g(heather:lawrence) 14-14]
lawrence| Sure I do I can t wait to meet them| [person:lawrence m 1-1][person:lawrence m 3-3][person:them g(kate:brenda) 9-9]
heather| Me too Well we got to plan what all of us are going to do together| [person:heather f 0-0][person:we g(heather:lawrence) 3-3][location:us g() 10-10]
lawrence| Actually I was wondering the same we should plan something fun| [person:lawrence m 1-1][person:we g(heather:lawrence) 6-6]
heather| Indeed I was thinking maybe we go swimming by the swimming pool during the day| [person:lawrence m 1-1][person:we g(heather:lawrence) 5-5]
lawrence| That would be nice so we can relax and also catch up| [person:we g(heather:lawrence) 5-5]
heather| I agree| [person:we g(heather:lawrence) 0-0]
lawrence| As for the evening maybe we can go at a night club so we can drink and dance| [person:we g(heather:lawrence) 5-5][location:night_club s 10-11][person:we g(heather:lawrence) 13-13]
heather| That is such a great idea we always had fun together we have been in clubs| [person:we g(heather:lawrence) 6-6][person:we g(heather:lawrence) 11-11][location:clubs g() 15-15]
lawrence| Yeah I agree Maybe before the clubs we can go and grab some Italian pizza since I know they both love pizzas| [person:lawrence m 1-1][location:clubs g() 6-6][person:we g(heather:lawrence) 7-7][person:lawrence m 16-16][person:they g(kate:brenda) 18-18]
heather| That would be perfect|
lawrence| Alright seems like we got this sorted out| [person:we g(heather:lawrence) 3-3]
heather| Yes Alright Lawrence later then| [person:lawrence m 2-2]
lawrence| Later Heather| [person:heather f 1-1]

conv:people_2019090101_321:aug_0:chat_0:chataug_0| gloria keith| [person:gloria f 0-0][person:keith m 1-1]
keith| Hi Gloria how are you doing| [person:gloria f 1-1][person:gloria f 4-4]
gloria| I m great how are you doing| [person:gloria f 0-0][person:keith m 5-5]
keith| Not too bad What is new with you| [person:gloria f 7-7]
gloria| Well Keith I m a little frazzled because I left my purse at Cheryl s house| [person:keith m 1-1][person:gloria f 2-2][person:gloria f 8-8][person:gloria f 10-10][person:cheryl f 13-13]
keith| Oh that s too bad Can I help you with that| [person:keith m 6-6][person:gloria f 8-8]
gloria| Yes I was going to ask for your help because I am stuck at play school right now| [person:gloria f 1-1][person:keith m 7-7][person:gloria f 10-10][location:school s 15-15]
keith| I could help you out for sure| [person:keith m 0-0][person:gloria f 3-3]
gloria| Where are you now Keith Could you stop by Cheryl s to pick up my purse| [person:keith m 2-2][person:keith m 4-4][person:keith m 6-6][person:cheryl f 9-9][person:gloria f 14-14]
keith| I m at home and could stop by anytime Just let me know| [person:keith m 0-0][location:home s 3-3][person:keith m 11-11]
gloria| Thanks so much Keith I appreciate it| [person:keith m 3-3][person:gloria f 4-4]
keith| No problem Why don t you call Cheryl and then let me know when to stop by| [person:gloria f 5-5][person:cheryl f 7-7][person:keith m 11-11]
gloria| Okay I will Talk to you soon| [person:gloria f 1-1][person:keith m 5-5]

conv:people_2019090101_322:aug_0:chat_0:chataug_0| alexander andy| [person:alexander m 0-0][person:andy m 1-1]
andy| Excited for the game Alexander| [person:alexander m 4-4]
alexander| Yeah it ll be great But I want to get some lunch before hand| [person:alexander m 6-6]
andy| Yeah me too Where you at right now| [person:andy m 1-1][person:alexander m 4-4]
alexander| I m still at my apartment| [person:alexander m 0-0][person:alexander m 4-4][location:apartment s 5-5]
andy| Michael and Mark are on their way to the game But maybe one of them can pick you up and we can all eat somewhere| [person:michael m 0-0][person:mark m 2-2][person:their g(michael:mark) 5-5][person:their g(michael:mark) 14-14][person:alexander m 17-17][person:we g(andy:alexander:michael:mark) 20-20]
alexander| That sounds good There are good places by my place Is there anything you prefer| [location:places g() 6-6][person:alexander m 8-8][location:places g() 9-9][person:andy m 13-13]
andy| Something quick like sandwiches maybe|
alexander| There s a bbq place and a deli that both do good sandwiches| [location:places g() 4-4]
andy| A pulled pork sandwich would hit the spot I ll see if Michael or Mark are near you| [person:andy m 8-8][person:michael m 12-12][person:mark m 14-14][person:alexander m 17-17]
alexander| Okay your roommates are good dudes| [person:andy m 1-1]
andy| Alright Michael is super close by He ll get you and we can go eat| [person:michael m 1-1][person:michael m 6-6][person:alexander m 9-9][person:we g(andy:alexander:michael:mark) 11-11]
alexander| Okay see you soon| [person:andy m 2-2]

conv:people_2019090101_323:aug_0:chat_0:chataug_0| jacqueline julia| [person:jacqueline f 0-0][person:julia f 1-1]
jacqueline| Hey Julia are you ready for our road trip| [person:julia f 1-1][person:jacqueline f 3-3][person:our g(jacqueline:julia) 6-6]
julia| Yes I m so excited| [person:julia f 1-1]
jacqueline| So I m trying to figure out what all we should bring| [person:julia f 1-1][person:we g(jacqueline:julia) 9-9]
julia| Well I guess it depends on whether we re planning to stop and eat or if we re just going to eat in the car| [person:julia f 1-1][person:we g(jacqueline:julia) 7-7][person:we g(jacqueline:julia) 16-16]
jacqueline| Well Craig won t even want to stop to let us go to the bathroom from what Natalie told me| [person:craig m 1-1][person:julia f 10-10][person:natalie f 17-17][person:jacqueline f 19-19]
julia| Ugh men Okay then we should bring snacks What do you think| [person:craig m 1-1][person:we g(jacqueline:julia) 4-4][person:jacqueline f 10-10]
jacqueline| I can make us a fun cheese platter That will be easy| [person:jacqueline f 0-0][person:julia f 3-3]
julia| Okay and let s see if Natalie can bake some of those awesome bagel chips she made for the party last month| [person:natalie f 6-6][person:julia f 15-15]
jacqueline| That s a great idea I know Susan loves making cookies I can ask her at run club tonight| [person:jacqueline f 5-5][person:susan f 7-7][person:susan f 11-11][person:jacqueline f 14-14]
julia| Perfect And Craig can bring a variety of sodas and such| [person:craig m 2-2]
jacqueline| Okay we re all set then I ll see you in the morning| [person:we g(jacqueline:julia) 1-1][person:jacqueline f 6-6][person:julia f 9-9]
julia| Bye|

conv:people_2019090101_324:aug_0:chat_0:chataug_0| chris christopher| [person:chris m 0-0][person:christopher m 1-1]
chris| Hi Christopher Are you ready to go for the dinner| [person:christopher m 1-1][person:christopher m 3-3]
christopher| Yes ready Can we go now Which restaurant we are going now| [person:we g(chris:christopher) 3-3][location:restaurant s 7-7][person:we g(chris:christopher) 8-8]
chris| I don t have any idea Do you know any nice places| [person:chris m 0-0][person:christopher m 7-7][location:places g() 11-11]
christopher| I have to think and I have one idea What about joining our friends Peter and Benjamin with us| [person:christopher m 0-0][person:christopher m 5-5][person:we g(chris:christopher) 12-12][person:friends g() 13-13][person:peter m 14-14][person:benjamin m 16-16][person:we g(chris:christopher) 18-18]
chris| Peter is Okay But I think Benjamin is strongly preference in some food and is it possible for him to adjust with us| [person:peter m 0-0][person:chris m 4-4][person:benjamin m 6-6][person:benjamin m 18-18][person:we g(chris:christopher) 22-22]
christopher| Yes I know that We both don t have any idea about particular food| [person:christopher m 1-1][person:we g(chris:christopher) 4-4]
christopher| So we can ask Benjamin to select food and particular restaurant that he like| [person:we g(chris:christopher) 1-1][person:benjamin m 4-4][location:restaurant s 10-10][person:benjamin m 12-12]
chris| What about Peter will he accept this idea| [person:peter m 2-2][person:peter m 4-4]
christopher| Will ask both of them As we are confusing with the restaurants selection this idea will help us| [person:friends g(peter:benjamin) 4-4][person:we g(chris:christopher) 6-6][location:restaurants g() 11-11][person:we g(chris:christopher) 17-17]
chris| Okay i will call Peter and inform this and you can ask with Benjamin| [person:chris m 1-1][person:peter m 4-4][person:christopher m 9-9][person:benjamin m 13-13]
christopher| Okay will do the same|

conv:people_2019090101_325:aug_0:chat_0:chataug_0| caroline tiffany| [person:caroline f 0-0][person:tiffany f 1-1]
tiffany| My uncle Gregory and aunt Lucy would be in New Orleans soon I was wondering what they should do there| [person:tiffany f 0-0][person:gregory m 2-2][person:lucy f 4-4][person:lucy f 5-5][location:new_orleans s 9-10][person:tiffany f 12-12][person:they g(tiffany:caroline:gregory:lucy) 16-16]
caroline| I live there remember Would you like me to take them around| [person:caroline f 0-0][location:new_orleans s 2-2][person:tiffany f 5-5][person:caroline f 7-7][person:them g(tiffany:caroline:gregory:lucy) 10-10]
tiffany| Well that is why I asked you but I don t know if you would be busy| [person:tiffany f 4-4][person:caroline f 6-6][person:tiffany f 8-8][person:caroline f 13-13]
caroline| I am never too busy to assist a friend| [person:caroline f 0-0][person:friend g(tiffany:caroline:gregory:lucy) 8-8]
tiffany| Well they are kind of all so I guess they would not want to do anything too active| [person:they g(tiffany:caroline:gregory:lucy) 1-1][person:tiffany f 7-7][person:they g(tiffany:caroline:gregory:lucy) 9-9]
caroline| Maybe a visit to the museum might be ideal| [location:museum s 5-5]
tiffany| Yes they would like that very much| [person:they g(tiffany:caroline:gregory:lucy) 1-1]
caroline| And a nice boat ride should do the trick|
tiffany| You can also take them out to some nice restaurants during the night| [person:caroline f 0-0][person:them g(tiffany:caroline:gregory:lucy) 4-4][location:restaurants g() 9-9]
caroline| I already have a few in mind I am sure they would have a great time| [person:caroline f 0-0][person:caroline f 7-7][person:they g(tiffany:caroline:gregory:lucy) 10-10]
tiffany| I know you would take good care of them Thanks| [person:tiffany f 0-0][person:caroline f 2-2][person:them g(tiffany:caroline:gregory:lucy) 8-8]
caroline| You are the best friend in the world| [person:tiffany f 0-0][person:friend g(tiffany:caroline:gregory:lucy) 4-4]

conv:people_2019090101_326:aug_0:chat_0:chataug_0| brittany heather| [person:brittany f 0-0][person:heather f 1-1]
brittany| Hey Why aren t you ready It s almost 7 o clock| [person:heather f 4-4]
heather| Sidra I m sorry I m not going I have to study| [person:heather f 1-1][person:heather f 4-4][person:heather f 8-8]
brittany| But you can study later Don t you want to go| [person:heather f 1-1][person:heather f 7-7]
heather| No not really I don t like dinner parties| [person:heather f 3-3]
brittany| But what can I tell the Riaz| [person:brittany f 3-3]
heather| Tell them I m sick| [person:heather f 2-2]
brittany| But you aren t sick Come on Sidra I don t like to lie| [person:heather f 1-1][person:brittany f 8-8]
heather| And don t like to go to dinner parties|
brittany| Come on Sidra You can t say no to the Riazs| [person:heather f 3-3]
heather| My English is so bad and they don t speak Portuguese| [person:heather f 0-0]
brittany| Your English is fine And you have a good accent| [person:heather f 0-0][person:heather f 5-5]
heather| Do you really think so| [person:brittany f 1-1]
brittany| Yes I do And you can practice you English at the party| [person:brittany f 1-1][person:heather f 4-4][person:heather f 7-7]
heather| You re so confident| [person:brittany f 0-0]
brittany| Then you re coming| [person:heather f 1-1]
heather| I don t want to go| [person:heather f 0-0]
brittany| Please Do it for me For my career| [person:brittany f 4-4][person:brittany f 6-6]
heather| No Of course not Bit|
brittany| But what Maybe I m not Picasso But I have to try Give me a year One more year| [person:brittany f 3-3][person:brittany f 8-8][person:brittany f 13-13]
heather| l bye|

conv:people_2019090101_327:aug_0:chat_0:chataug_0| greg josh| [person:greg m 0-0][person:josh m 1-1]
greg| Hello Josh| [person:josh m 1-1]
josh| Hey Greg What s up| [person:greg m 1-1]
greg| I was trying to decide to invite over to share a meal with us| [location:i g() 0-0][person:us g(greg:josh) 13-13]
josh| Well our shared close friends are Jacob Gerald Christopher and Gary| [person:us g(greg:josh) 1-1][person:friends g() 4-4][person:jacob m 6-6][person:gerald m 7-7][person:christopher m 8-8][person:gary m 10-10]
greg| Christopher is out of town so he is out| [person:christopher m 0-0][person:christopher m 6-6]
josh| Yeah and Gerald is kind of antisocial so I don t think he would want to come over with a bunch of people| [person:gerald m 2-2][person:josh m 8-8][person:gerald m 12-12]
greg| Okay so it will be us Jacob and Gary then| [person:us g(greg:josh) 5-5][person:jacob m 6-6][person:gary m 8-8]
josh| That sounds good|
greg| I was thinking that we can have lunch here at our place and then maybe do something afterwards| [location:i g() 0-0][person:we g(greg:josh:jacob:gary) 4-4][person:us g(greg:josh) 10-10]
josh| What else did you have in mind| [person:greg m 3-3]
greg| How about a hike in the mountains afterwards|
josh| That sounds fun I ll call them and see if they are up for it| [person:josh m 3-3][person:them g(jacob:gary) 6-6][person:them g(jacob:gary) 10-10]

conv:people_2019090101_329:aug_0:chat_0:chataug_0| bill steve| [person:bill m 0-0][person:steve m 1-1]
steve| Hey Bill do you want to grab dinner on Friday| [person:bill m 1-1][person:bill m 3-3]
bill| Sure I would like to invite Brenda and Alexander also| [person:bill m 1-1][person:brenda f 6-6][person:alexander m 8-8]
steve| Great idea I haven t seen them in a while| [person:steve m 2-2][person:them g(brenda:alexander) 6-6]
bill| Cool did you have a particular restaurant in mind| [person:steve m 2-2][location:restaurant s 6-6]
steve| What about the Italian place on Main or the Mexican joint near Brenda| [location:italian s 4-4][person:brenda f 12-12]
bill| Alexander is close to Brenda too The Mexican place is tasty| [person:alexander m 0-0][person:brenda f 4-4][location:mexican s 8-8]
steve| Everyone likes Mexican correct I know you and I do but not sure about the rest| [person:everyone g(steve:bill:brenda:alexander) 0-0][person:steve m 4-4][person:bill m 6-6][person:steve m 8-8]
bill| OH yes Brenda especially likes it extra hot| [person:brenda f 2-2]
steve| Great how does 700 pm work for you| [person:bill m 7-7]
bill| That will work for me If Brenda or Alexander have a conflict I will let you know| [person:bill m 4-4][person:brenda f 6-6][person:alexander m 8-8][person:bill m 12-12][person:steve m 15-15]
steve| See you then| [person:bill m 1-1]

conv:people_2019090101_330:aug_0:chat_0:chataug_0| dwayne johnny| [person:dwayne m 0-0][person:johnny m 1-1]
johnny| Hey Dwayne I m planning to hang out with my friends Rodger and Benjamin near your work| [person:dwayne m 1-1][person:johnny m 2-2][person:johnny m 9-9][person:friends g() 10-10][person:rodger m 11-11][person:benjamin m 13-13][person:dwayne m 15-15]
dwayne| What do you guys have in mind| [person:johnny m 2-2]
johnny| Well we d like to grab a drink after work and just spend the time in a bar Do you have any suggestions| [person:we g(johnny:rodger:benjamin) 1-1][location:bar s 17-17][person:dwayne m 19-19]
dwayne| Well Chili s or Friday s have a relaxed vibe You guys might also like Applebee s| [person:johnny m 10-10]
johnny| I was already thinking about Friday s| [person:johnny m 0-0]
dwayne| I think that s a good choice I think they have early bird specials| [person:dwayne m 0-0][person:dwayne m 7-7]
johnny| You should come too if you don t have plans yet| [person:dwayne m 0-0][person:dwayne m 5-5]
dwayne| Sure I ll try to follow as soon as I m off from work| [person:dwayne m 1-1][person:dwayne m 9-9]
johnny| Great I ll save you a seat See you later| [person:johnny m 1-1][person:dwayne m 4-4][person:dwayne m 8-8]
dwayne| Thanks Dwayne See you soon| [person:dwayne m 1-1][person:johnny m 3-3]

conv:people_2019090101_331:aug_0:chat_0:chataug_0| jon lawrence| [person:jon m 0-0][person:lawrence m 1-1]
lawrence| Hi Jon are you free now| [person:jon m 1-1][person:jon m 3-3]
jon| Yes dear I am free now Anything important| [person:jon m 2-2]
lawrence| Shall we go to dinner today night| [person:jon_and_lawrence g(lawrence:jon) 1-1][location:dinner s 4-4]
jon| Oh sure Shall we invite our friends Dan and Jim| [person:jon_and_lawrence g(lawrence:jon) 3-3][person:jon_and_lawrence g(lawrence:jon) 5-5][person:friends g() 6-6][person:dan m 7-7][person:jim m 9-9]
lawrence| It is a good idea But I am not sure that whether Jim has strong preference for dinner| [person:lawrence m 6-6][person:jim m 12-12]
jon| You are correct But I think he will join with us today| [person:lawrence m 0-0][person:jon m 4-4][person:jim m 6-6][person:jon_and_lawrence g(lawrence:jon) 10-10]
lawrence| Shall I invite both Dan and Jim| [person:lawrence m 1-1][person:dan m 4-4][person:jim m 6-6]
jon| Let me invite Dan and you invite Jim| [person:jon m 1-1][person:dan m 3-3][person:lawrence m 5-5][person:jim m 7-7]
lawrence| Okay sure But which restaurant we need to go| [location:restaurant s 4-4][person:we g(lawrence:jon:jim:dan) 5-5]
jon| What do you think about BELL restaurant| [person:lawrence m 2-2][location:restaurant s 6-6]
lawrence| BELL is a nice restaurant It is good for me too| [location:restaurant s 4-4][location:restaurant s 5-5][person:lawrence m 9-9]
jon| Good Let us start inviting our friends Meet you there dear Bye| [person:jon_and_lawrence g(lawrence:jon) 2-2][person:jon_and_lawrence g(lawrence:jon) 5-5][person:friends g(jim:dan) 6-6][person:lawrence m 8-8][location:restaurant s 9-9]
jon| Bye|

conv:people_2019090101_334:aug_0:chat_0:chataug_0| craig evan| [person:craig m 0-0][person:evan m 1-1]
evan| hai craig what about this weekend plan shall we go for a long hiking| [person:craig m 1-1][person:we g(evan:craig) 8-8]
craig| oh sure Evan with whom we are planning to go| [person:evan m 2-2][person:we g(evan:craig) 5-5]
evan| my neighbors both Alex and Andrew are going for a longhiking trip i like to join with them| [person:evan m 0-0][person:neighbors g() 1-1][person:alex m 3-3][person:andrew m 5-5][person:evan m 12-12][person:them g(alex:andrew) 17-17]
craig| ok but i don t know alex and andrew that much whether they are good and understandable person| [person:craig m 2-2][person:alex m 6-6][person:andrew m 8-8][person:them g(alex:andrew) 12-12]
evan| Yes Craig they both are very good and humble persons They will help us to give some tips for hiking| [person:craig m 1-1][person:them g(alex:andrew) 2-2][person:them g(alex:andrew) 10-10][person:we g(evan:craig) 13-13]
craig| Eventhough i am not interested to come along with them Evan| [person:craig m 1-1][person:them g(alex:andrew) 9-9][person:evan m 10-10]
evan| Actually they told me that all the hiking tools and eatables will be taken by them itself simply we need to join with them| [person:them g(alex:andrew) 1-1][person:evan m 3-3][person:them g(alex:andrew) 15-15][person:we g(evan:craig) 18-18][person:them g(alex:andrew) 23-23]
craig| ok what about their nature whether they are adjustable actually they will support us in hiking| [person:them g(alex:andrew) 3-3][person:them g(alex:andrew) 6-6][person:them g(alex:andrew) 10-10][person:we g(evan:craig) 13-13]
evan| yes craig you no need to worry they both are good adjusting nature persons and they told me that they will help in hiking if we are tired| [person:craig m 1-1][person:craig m 2-2][person:them g(alex:andrew) 7-7][person:them g(alex:andrew) 15-15][person:evan m 17-17][person:them g(alex:andrew) 19-19]
craig| ok then i agree to join with them for hiking| [person:craig m 2-2][person:them g(alex:andrew) 7-7]
evan| ok bye for now|

conv:people_2019090101_335:aug_0:chat_0:chataug_0| joyce shane| [person:joyce f 0-0][person:shane m 1-1]
shane| Hey It s been a while since we ve seen Jason and Sherrie Why don t we visit them soon| [person:we g(shane:joyce) 7-7][person:jason m 10-10][person:sherrie f 12-12][person:we g(shane:joyce) 16-16][person:them g(jason:sherrie) 18-18]
joyce| Sure I would love to catch up with those two| [person:joyce f 1-1]
shane| When do you think would be a good time| [person:joyce f 2-2]
joyce| Well summer is starting and I ll be free next weekend How about you| [person:joyce f 5-5][person:shane m 13-13]
shane| Yeah That s a good time for me too| [person:shane m 7-7]
joyce| We should bring something for them when we visit| [person:we g(shane:joyce) 0-0][person:them g(jason:sherrie) 5-5][person:we g(shane:joyce) 7-7]
shane| I know both of them love fruits Let s get them a basket of assorted fruits| [person:shane m 0-0][person:them g(jason:sherrie) 4-4][person:them g(jason:sherrie) 10-10]
joyce| Great idea I m sure they will love that| [person:joyce f 2-2][person:them g(jason:sherrie) 5-5]
shane| So we re all set for next weekend| [person:we g(shane:joyce) 1-1]
joyce| Yup looking forward to spend time with our neighbors| [person:we g(shane:joyce) 7-7][person:them g(jason:sherrie) 8-8]

conv:people_2019090101_337:aug_0:chat_0:chataug_0| margaret susie| [person:margaret f 0-0][person:susie f 1-1]
susie| So what all are we going to need for the road trip| [person:we g(susie:margaret) 4-4][location:trip s 10-10][location:trip s 11-11]
margaret| We ll need snacks drinks toiletries I think that s all| [person:we g(susie:margaret) 0-0][person:margaret f 6-6]
susie| How should we decide who buys what| [person:we g(susie:margaret) 2-2]
margaret| Deborah Victoria and I are going to the grocery store later We can get snacks and drinks| [person:deborah f 0-0][location:trip s 1-1][person:margaret f 3-3][location:grocery_store s 8-9][person:we g(susie:margaret) 11-11]
susie| Okay I will ask Pete to grab some toiletries from his work| [person:susie f 1-1][person:pete m 4-4][person:pete m 10-10]
margaret| Oh that s a good idea|
susie| We can all meet at my house on Saturday at 7am| [person:we g(susie:margaret) 0-0][person:susie f 5-5][location:my_house s 5-6][location:house s 6-6]
margaret| Great I ll double check our reservations| [person:margaret f 1-1][person:our g(margaret) 5-5][location:trip s 6-6]
susie| Thanks See you then Can t wait| [person:margaret f 2-2]
margaret| I ll bring plenty of pillows and blankets See you then| [person:margaret f 0-0][person:susie f 9-9]

conv:people_2019090101_338:aug_0:chat_0:chataug_0| aaron daniel| [person:aaron m 0-0][person:daniel m 1-1]
daniel| Did you get invited to the Watsons for drinks tonight| [person:aaron m 1-1][person:watsons g() 6-6]
aaron| Yeah I did What do you think we should bring| [person:aaron m 1-1][person:daniel m 5-5][person:aaron_and_daniel g(daniel:aaron) 7-7]
daniel| I have no idea I don t know them very well Do you think they like beer| [person:daniel m 0-0][person:daniel m 4-4][person:watsons g() 8-8][person:aaron m 12-12][person:watsons g() 14-14]
aaron| I ve only seen them drink wine but they might like beer| [person:aaron m 0-0][person:watsons g() 4-4][person:watsons g() 8-8]
daniel| Doesn t David know them really well Maybe you could ask him for advice| [person:david m 2-2][person:watsons g() 4-4][person:aaron m 8-8][person:david m 11-11]
aaron| Yeah he does I ll see what he thinks| [person:david m 1-1][person:aaron m 3-3][person:david m 7-7]
daniel| Thanks Please let me know asap I need to buy it on the way home from work| [person:daniel m 3-3][person:daniel m 6-6][location:home s 14-14][location:work s 16-16]
aaron| He says wine is the better option But they also really like rum| [person:david m 0-0][person:watsons g() 8-8]
daniel| Thanks for the tip I think I ll get a bottle of rum| [person:daniel m 4-4][person:daniel m 6-6]
aaron| OK if you bring rum then I ll bring the wine| [person:daniel m 2-2][person:aaron m 6-6]

conv:people_2019090101_341:aug_0:chat_0:chataug_0| dorothy hannah| [person:dorothy f 0-0][person:hannah f 1-1]
hannah| I ran into Justin this morning| [person:hannah f 0-0][person:justin m 3-3]
dorothy| Really How s he doing| [person:justin m 3-3]
hannah| He s doing fine but him and Eva can t make it to dinner this week| [person:justin m 0-0][person:justin m 5-5][person:eva f 7-7][location:dinner s 11-11][location:dinner s 13-13]
dorothy| That s too bad I was looking forward to seeing them| [person:dorothy f 4-4][person:them g(justin:eva) 10-10]
hannah| Yeah Justin said that next week will be good for them How about next Friday night| [person:justin m 1-1][person:them g(justin:eva) 10-10]
dorothy| That would be good for me So what are we going to do this weekend instead| [person:dorothy f 5-5][person:we g(hannah:dorothy) 9-9]
hannah| How about going to see a movie|
