conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
walt| Sure I will invite Henry right now| [person:walt m 1-1][person:henry m 4-4]
richard| Sure Okay dear Call you after getting confirmation from Roy Bye dear| [person:walt m 4-4][person:roy m 9-9]
walt| Bye|

conv:people_2019081802_78:aug_0:chat_0:chataug_0| kate margaret| [person:kate f 0-0][person:margaret f 1-1]
kate| Hey Are you ready for the party tomorrow| [person:margaret f 2-2]
margaret| Almost Should we bring gifts for the Parkers| [person:kate___margaret g(kate:margaret) 2-2][person:parkers g() 7-7]
kate| Good idea what do you think Matt would like| [person:margaret f 4-4][person:matt m 6-6]
margaret| He really likes interesting cheeses maybe we could find him something unusual| [person:matt m 0-0][person:kate___margaret g(kate:margaret) 6-6][person:matt m 9-9]
margaret| Great idea And Nicole likes wine so we could find one that pairs nicely| [person:nicole f 3-3][person:kate___margaret g(kate:margaret) 7-7]
kate| Perfect Let s not forget Daniel| [person:daniel m 5-5]
margaret| How about some chocolate for him| [person:daniel m 5-5]
kate| Yes let s do that|
margaret| Ok Who is buying what|
kate| I ll get the wine and cheese so we know they go together| [person:kate f 0-0][person:kate___margaret g(kate:margaret) 8-8]
margaret| Great I ll buy the chocolate| [person:margaret f 1-1]

conv:people_2019081802_80:aug_0:chat_0:chataug_0| april natalie| [person:april f 0-0][person:natalie f 1-1]
april| Hey are you going to dinner with Teresa and Rose tonight too| [person:natalie f 2-2][person:teresa f 7-7][person:rose f 9-9]
natalie| Yes I ll be there| [person:natalie f 1-1]
april| I m wondering where we should go for drinks beforehand| [person:april f 0-0][person:we g(april:natalie:teresa:rose) 4-4]
natalie| I know Teresa and Rose like wine bars| [person:natalie f 0-0][person:teresa f 2-2][person:rose f 4-4][location:bars g() 7-7]
april| Yeah I like beer but I d be willing to do wine to make everyone happy| [person:april f 1-1][person:april f 5-5][person:we g(april:natalie:teresa:rose) 14-14]
natalie| Me too Do you know any place that is convenient for everyone| [person:natalie f 0-0][person:april f 3-3][location:place s 6-6][person:we g(april:natalie:teresa:rose) 11-11]
april| We should find some place that is right in the middle of where we live and where they live| [person:we g(april:natalie:teresa:rose) 0-0][location:place s 4-4][person:we g(april:natalie) 13-13][person:they g(teresa:rose) 17-17]
natalie| Yeah how about the Luxe Wine Bar Isn t that in the middle| [location:bar s 6-6]
april| It is I ll let them know to meet us there at 6| [person:april f 2-2][person:they g(teresa:rose) 5-5][person:we g(april:natalie) 9-9]
natalie| Can we do 7 instead I have something else at 6| [person:we g(april:natalie:teresa:rose) 1-1][person:natalie f 5-5]
april| I ll ask them and get back to you You could always meet us later if need be| [person:april f 0-0][person:they g(teresa:rose) 3-3][person:natalie f 8-8][person:natalie f 9-9][person:us g(april:teresa:rose) 13-13]

conv:people_2019081802_81:aug_0:chat_0:chataug_0| carolyn steve| [person:carolyn f 0-0][person:steve m 1-1]
carolyn| So Rebecca and Madison will be in town next week| [person:rebecca f 1-1][person:madison f 3-3][location:town s 7-7]
steve| I know have you thought at all about what we can do while they re here| [person:steve m 0-0][person:carolyn f 3-3][person:we g(carolyn:steve:rebecca:madison) 9-9][person:they g(rebecca:madison) 13-13]
carolyn| I have a few ideas Have you seen the new James Bond movie yet| [person:carolyn f 0-0][person:steve m 6-6][person:james m 10-10]
steve| I haven t Should we take them to that| [person:steve m 0-0][person:cs g(carolyn:steve) 4-4][person:they g(rebecca:madison) 6-6]
carolyn| I think they would enjoy it What else could we do| [person:carolyn f 0-0][person:they g(rebecca:madison) 2-2][person:we g(carolyn:steve:rebecca:madison) 9-9]
steve| Let s do something more active Maybe that waterfall hike|
carolyn| Oh yeah they would really enjoy doing that| [person:they g(rebecca:madison) 2-2]
steve| Also I think they like that restaurant with the free pie| [person:steve m 1-1][person:they g(rebecca:madison) 3-3][location:restaurant s 6-6]
carolyn| OK we could visit that after the hike| [person:we g(carolyn:steve:rebecca:madison) 1-1]
steve| Sounds like a fun day|

conv:people_2019081802_82:aug_0:chat_0:chataug_0| catherine olivia| [person:catherine f 0-0][person:olivia f 1-1]
olivia| There s so much to do in New York its hard to decide what to choose Do you have any suggestions| [location:new_york s 7-8][person:catherine f 17-17]
catherine| Kim is a big baseball fan so going to a Yankees game would be a good choice| [person:kim f 0-0]
olivia| I don t think Monica cares much for sports and baseball games last a long time| [person:olivia f 0-0][person:monica f 4-4]
catherine| Oh yeah I didn t think about that I think they both like the theater so a Broadway show would be a lot of fun| [person:catherine f 2-2][person:catherine f 8-8][person:they g(kim:monica) 10-10]
olivia| That s a good idea What about museums Do you think they d like the Met| [location:museums g() 7-7][person:catherine f 9-9][person:they g(kim:monica) 11-11]
catherine| That would be a good choice Also the Modern Art Museum| [location:art_museum s 9-10]
olivia| I ve heard something about a Tenement Museum do you know anything about that| [person:olivia f 0-0][location:new_york s 7-7][person:catherine f 9-9]
catherine| Oh yeah I forgot about that It s a really good one They take you on a tour of tenements designed for different periods of immigration what they looked like how people lived If you re family immigrated through New York you can get a real taste for how they may have lived| [person:catherine f 2-2][person:olivia f 14-14][person:they g() 27-27][person:olivia f 34-34][person:they g() 36-36][location:new_york s 39-40][person:olivia f 41-41][person:they g() 49-49]
olivia| That sounds perfect Both their families came through New York| [person:they g(kim:monica) 4-4][location:new_york s 8-9]
catherine| While you re there you should have lunch at Katz Deli Its been around forever a real New York experience| [person:olivia f 1-1][person:olivia f 4-4][location:new_york s 17-18]
olivia| Really good food|
catherine| You bet But be prepared the portions are huge so if you don t want to take a lot of leftovers back to your hotel you might want to split some sandwiches| [person:olivia f 0-0][person:olivia f 11-11][person:olivia f 23-23][location:hotel s 24-24][person:olivia f 25-25]
olivia| Sounds great Thanks so much|

conv:people_2019081802_83:aug_0:chat_0:chataug_0| brandon victoria| [person:brandon m 0-0][person:victoria f 1-1]
brandon| Our big dinner party is coming up are you excited| [person:our g(brandon:victoria) 0-0][person:victoria f 8-8]
victoria| I m actually stressed We haven t decided what to feed them| [person:victoria f 0-0][person:our g(brandon:victoria) 4-4][person:them g() 11-11]
brandon| What do you think would be easy Chloe and Kathryn like fish But Wilson and Nate love steak| [person:victoria f 2-2][person:chloe f 7-7][person:kathryn f 9-9][person:wilson m 13-13][person:nate m 15-15]
victoria| I was thinking pasta But fish and steak could easily be done on the grill| [person:victoria f 0-0]
brandon| Yeah that would work I ll pick up fish and steak on my way home| [person:brandon m 4-4][person:brandon m 12-12][location:home s 14-14]
victoria| I know Chloe and Wilson love chips and salsa What do Kathryn and Nate like| [person:victoria f 0-0][person:chloe f 2-2][person:wilson m 4-4][person:kathryn f 11-11][person:nate m 13-13]
brandon| I think they like pretzels and dip I can get all of that Is there anything else you want| [person:brandon m 0-0][person:they g(wilson:nate) 2-2][person:brandon m 7-7][person:victoria f 17-17]
victoria| Also get some vegetables to go with the fish and steak|
brandon| Alright that sounds like a plan I ll get all of it after work| [person:brandon m 6-6]
victoria| Okay see you later I ll tidy up the house before you get back| [person:brandon m 2-2][person:victoria f 4-4][person:brandon m 11-11]
brandon| Okay see you then| [person:victoria f 2-2]

conv:people_2019081802_85:aug_0:chat_0:chataug_0| henry samuel| [person:henry m 0-0][person:samuel m 1-1]
samuel| Hey Henry I was thinking it would be great to grab a few drinks with you Kate and Noah| [person:henry m 1-1][person:samuel m 2-2][person:henry m 15-15][person:kate f 16-16][person:noah m 18-18]
henry| Yes we should make some plans| [person:we g(samuel:henry) 1-1]
samuel| Do you know their scedule| [person:henry m 1-1][person:their g(kate:noah) 3-3]
henry| They are both pretty flexible What works for you| [person:their g(kate:noah) 0-0][person:samuel m 8-8]
samuel| I was thinking this coming Friday or Saturday| [person:samuel m 0-0]
henry| Saturday should be good I know Noah gets stuck in the office sometimes late on Friday| [person:henry m 4-4][person:noah m 6-6][location:office s 11-11]
samuel| Ok well let s plan for all of us to meet next Saturday at La Torre s Bar on sixth street Is 700 pm okay| [person:us g(samuel:henry:kate:noah) 8-8][location:bar s 14-14][location:bar s 17-17][location:street s 20-20]
henry| That sounds great I ll text Kate and Noah and make sure that works for them too| [person:henry m 3-3][person:kate f 6-6][person:noah m 8-8][person:their g(kate:noah) 15-15]
samuel| Ok great|
henry| It s been a long time since we have all gotten together| [person:us g(samuel:henry:kate:noah) 7-7]
samuel| Yes I agree I m really looking forward to catching up with everyone| [person:samuel m 1-1][person:samuel m 3-3][person:us g(samuel:henry:kate:noah) 12-12]

conv:people_2019081802_86:aug_0:chat_0:chataug_0| juan raymond| [person:juan m 0-0][person:raymond m 1-1]
juan| Hey Raymond how are you| [person:raymond m 1-1][person:raymond m 4-4]
raymond| Good man you| [person:juan m 2-2]
juan| I m good You still up for dinner tomorrow| [person:juan m 0-0][person:raymond m 3-3]
raymond| Yep sounds good I was thinking we could invite Scott and Matt| [person:raymond m 3-3][person:we g(juan:raymond) 6-6][person:scott m 9-9][person:matt m 11-11]
juan| Sure thing Although weren t we going to try that new Chinese place I think Matt really prefers Italian food so he may not be interested| [person:we g(juan:raymond) 5-5][location:place s 12-12][person:juan m 13-13][person:matt m 15-15][person:matt m 21-21]
raymond| Ohhh right I forgot about that| [person:raymond m 2-2]
raymond| In that case let s just see if Scott wants to come| [person:scott m 8-8]
juan| Okay cool So the group will be you me and Scott And you want that new Chinese place on 5th right| [person:raymond m 7-7][person:juan m 8-8][person:scott m 10-10][person:raymond m 12-12][location:place s 17-17]
raymond| Yeah that s what I was thinking I can make reservations| [person:raymond m 4-4][person:raymond m 7-7]
juan| Okay awesome thanks I ll call Scott and see if he s free for tomorrow night| [person:juan m 3-3][person:scott m 6-6][person:scott m 10-10]
raymond| Great thanks It should be fun|

conv:people_2019081802_87:aug_0:chat_0:chataug_0| kate margaret| [person:kate f 0-0][person:margaret f 1-1]
kate| Hey Are you ready for the party tomorrow| [person:margaret f 2-2]
margaret| Almost Should we bring gifts for the Parkers| [person:we g(kate:margaret) 2-2][person:parkers g() 7-7]
kate| Good idea what do you think Matt would like| [person:margaret f 4-4][person:matt m 6-6]
margaret| He really likes interesting cheeses maybe we could find him something unusual| [person:matt m 0-0][person:we g(kate:margaret) 6-6][person:matt m 9-9]
margaret| Great idea And Nicole likes wine so we could find one that pairs nicely| [person:nicole f 3-3][person:we g(kate:margaret) 7-7]
kate| Perfect Let s not forget Daniel| [person:daniel m 5-5]
margaret| How about some chocolate for him| [person:daniel m 5-5]
kate| Yes let s do that|
margaret| Ok Who is buying what|
kate| I ll get the wine and cheese so we know they go together| [person:kate f 0-0][person:we g(kate:margaret) 8-8][person:they g(matt:nicole:daniel) 10-10]
margaret| Great I ll buy the chocolate| [person:margaret f 1-1]

conv:people_2019081802_89:aug_0:chat_0:chataug_0| barry ethan| [person:barry m 0-0][person:ethan m 1-1]
barry| Hey what are you doing in March| [person:ethan m 3-3]
ethan| Nothing big planned why what s going on|
barry| Me and my cousins Eric and Louis are going to go to Europe I know you said you ve always wanted to go| [person:barry m 0-0][person:barry m 2-2][person:cousins g() 3-3][person:eric m 4-4][person:louis m 6-6][person:barry m 13-13][person:ethan m 15-15][person:ethan m 17-17]
ethan| Hmm that could be fun but I m not sure| [person:ethan m 6-6]
barry| Why not Anything I can help with| [person:barry m 3-3]
ethan| I just don t know your cousins that well so I m not sure we d want to do the same activities on the trip| [person:ethan m 0-0][person:barry m 5-5][person:cousins g(eric:louis) 6-6][person:ethan m 10-10][person:we g(barry:ethan:eric:louis) 14-14]
barry| Oh Well you like history right| [person:ethan m 2-2]
ethan| Yes that and local food and drink|
barry| Well Eric is obsessed with museums and cathedrals And Louis is a foodie| [person:eric m 1-1][location:museums g() 5-5][person:louis m 9-9]
ethan| That could work Why don t we hang out next week and discuss it| [person:we g(barry:ethan:eric:louis) 6-6]
barry| Great see you next week| [person:ethan m 2-2]

conv:people_2019081802_90:aug_0:chat_0:chataug_0| julia shawn| [person:julia f 0-0][person:shawn m 1-1]
shawn| Let s invite the Campbells and Wilsons for dinner sometime this week| [person:campbells g() 4-4][person:wilsons g() 6-6]
julia| This week works I can do Tuesday or Thursday evening What works on your end| [person:julia f 3-3][person:shawn m 13-13]
shawn| Thursday is perfect Let s do that|
julia| Oh wait I actually forgot I have something going on that day| [person:julia f 2-2][person:julia f 5-5]
shawn| That s okay Should we do Tuesday then or wait until next week| [person:shawn___julia g(shawn:julia) 4-4]
julia| No let s try for Tuesday|
shawn| Okay I ll message the Campbells right now and see if they can come| [person:shawn m 1-1][person:campbells g() 5-5][person:campbells g() 11-11]
julia| Great I ll ask the Wilsons| [person:julia f 1-1][person:wilsons g() 5-5]
shawn| The Campbells are in and will come on Tuesday at 7| [person:campbells g() 1-1]
julia| Awesome the Wilsons can come too I ll tell them 7 pm| [person:wilsons g() 2-2][person:julia f 6-6][person:wilsons g() 9-9]
shawn| Great Tuesday it is I m looking forward to it| [person:shawn m 4-4]
julia| Me too| [person:julia f 0-0]

conv:people_2019081802_91:aug_0:chat_0:chataug_0| jen julia| [person:jen f 0-0][person:julia f 1-1]
julia| Hi I am so excited for the party aren t you| [person:julia f 1-1][person:jen f 10-10]
jen| I am as well How are we dividing up the planning responsibilities| [person:jen f 0-0][person:we g(julia:jen) 6-6]
julia| I think that Laura should do the invitations as she is super creative in that way| [person:julia f 0-0][person:laura f 3-3][person:laura f 9-9]
jen| Agreed I would give Alice the appetizer responsibility She is a foodie and knows what people like| [person:jen f 1-1][person:alice f 4-4][person:alice f 8-8]
julia| Perfect That leaves something for Amy I guess that she can help you decorate I have the main meal planned out so I ll coordinate that with Alice so the food works together| [person:amy f 5-5][person:julia f 6-6][person:amy f 9-9][person:jen f 12-12][person:julia f 14-14][person:julia f 22-22][person:alice f 27-27]
julia| I d say we do the Fiesta theme that we spoke about Makes the food and drinks that much easier| [person:julia f 0-0][person:we g(julia:jen:laura:alice:amy) 3-3][person:we g(julia:jen:laura:alice:amy) 9-9]
jen| I m with you Who doesn t love a good sangria or margarita| [person:jen f 0-0][person:julia f 3-3]
jen| I can handle the drinks Is that sufficient| [person:jen f 0-0]
julia| Yes that is good I will buy the alcohol and all the food for the main meal and apps| [person:julia f 4-4]
jen| Sounds good I ll give you some money towards it and I m sure the other girls will to It s going to be a blast| [person:jen f 2-2][person:julia f 5-5][person:jen f 11-11][person:girls g(laura:alice:amy) 16-16]
jen| Are all the regulars coming I haven t seen some of them in a long time| [person:jen f 5-5][person:girls g(laura:alice:amy) 11-11]
julia| Yup everyone is tentatively confirmed It will be a good time| [person:we g(julia:jen:laura:alice:amy) 1-1]

conv:people_2019081802_92:aug_0:chat_0:chataug_0| mark tim| [person:mark m 0-0][person:tim m 1-1]
tim| I have a nice plan What about a dinner at out side today| [person:tim m 0-0]
mark| Wow that is a good idea Shall we ask our friends Jeff and Eddie to join with us for this dinner| [person:we g(tim:mark) 7-7][person:we g(tim:mark) 9-9][person:friends g() 10-10][person:jeff m 11-11][person:eddie m 13-13][person:we g(tim:mark) 17-17]
tim| Yes but do you know Eddie is more preferred about food How can we satisfy him| [person:mark m 3-3][person:eddie m 5-5][person:we g(tim:mark) 13-13][person:eddie m 15-15]
mark| Yes I know it But we are all okay with any kind of food isn t it| [person:mark m 1-1][person:we g(tim:mark:jeff:eddie) 5-5]
tim| Yes we are| [person:we g(tim:mark:jeff:eddie) 1-1]
mark| So we can ask about the favorite one of Eddie and we plan accordingly| [person:we g(tim:mark) 1-1][person:eddie m 9-9][person:we g(tim:mark) 11-11]
tim| So today we are going to eat Eddie s favorite one right| [person:we g(tim:mark) 2-2][person:eddie m 7-7]
mark| Yes he is also our friend Have you any problem in this| [person:eddie m 1-1][person:we g(tim:mark) 4-4][person:eddie m 5-5][person:tim m 7-7]
tim| No no I am glad to invite him Do one thing You call him and ask about his favorite food| [person:tim m 2-2][person:eddie m 7-7][person:mark m 11-11][person:eddie m 13-13][person:eddie m 17-17]
tim| And I will call Jeff and inform about our plan to him Okay| [person:tim m 1-1][person:jeff m 4-4][person:we g(tim:mark) 8-8][person:jeff m 11-11]
mark| Okay nice I will do it so| [person:mark m 2-2]

conv:people_2019081802_94:aug_0:chat_0:chataug_0| joan kim| [person:joan f 0-0][person:kim f 1-1]
kim| I ll be in Dallas next week| [person:kim f 0-0][location:dallas s 4-4]
joan| Really For how long|
kim| Just a couple of days I d really like to see the old gang again| [person:kim f 5-5]
joan| That would be great|
kim| We should all get together Any suggestions| [person:we g(kim:joan) 0-0]
joan| Flamingo s It s a casual bar and grill with a tropical theme Real nice| [location:bar s 6-6]
kim| Sounds like fun Can you get the gang together| [person:joan f 4-4]
joan| I m meeting Mark later today Lucy and Edgar I will see tomorrow I ll let them know| [person:joan f 0-0][person:mark m 3-3][person:lucy f 6-6][person:edgar m 8-8][person:joan f 9-9][person:joan f 13-13][person:them g(mark:lucy) 16-16]
kim| Great|
joan| Wait Flamingo s is a 45 minute drive from everyone Edgar needs to stay close to home because of his father| [person:everyone g(kim:joan:mark:lucy) 9-9][person:edgar m 10-10][location:home s 16-16][person:edgar m 19-19]
kim| Oh Anyplace else we can go| [person:we g(kim:joan:mark:lucy:edgar) 3-3]
joan| There s the Diamond Bar downtown 1015 minutes away from all of us A little fancier but still casual| [location:bar s 4-4][location:downtown s 5-5][person:we g(kim:joan:mark:lucy:edgar) 12-12]
kim| Sounds great|
joan| I ll call everyone and let them know Can t wait to see you| [person:joan f 0-0][person:everyone g(kim:joan:mark:lucy:edgar) 3-3][person:them g(mark:lucy) 6-6][person:kim f 13-13]

conv:people_2019081802_95:aug_0:chat_0:chataug_0| dennis richard| [person:dennis m 0-0][person:richard m 1-1]
dennis| So who should we invite to movie night| [person:we g(dennis:richard) 3-3]
richard| I think we should only invite Jonathan Timothy and Sean| [person:richard m 0-0][person:we g(dennis:richard) 2-2][person:jonathan m 6-6][person:timothy m 7-7][person:sean m 9-9]
dennis| Why don t you want to invite Dave Any particular reason| [person:richard m 3-3][person:dave m 7-7]
richard| No we just don t talk or hangout much at all| [person:we g(dennis:richard) 1-1]
dennis| We should invite him then you can get to know each other better| [person:we g(dennis:richard) 0-0][person:dave m 3-3][person:richard m 5-5]
richard| I guess that makes sense That s fine with me| [person:richard m 0-0][person:richard m 9-9]
dennis| Now where should we go watch the movie| [person:we g(dennis:richard) 3-3]
richard| Timothy Sean and Dave all live in Ocean Beach Let s meet there| [person:timothy m 0-0][person:sean m 1-1][person:dave m 3-3][location:beach s 8-8]
dennis| Yeah that would make the most sense Let s watch a horror movie|
richard| Sounds great We ll talk more later Have a good day| [person:we g(dennis:richard) 2-2]

conv:people_2019081802_97:aug_0:chat_0:chataug_0| bob ralph| [person:bob m 0-0][person:ralph m 1-1]
bob| Its been a while|
ralph| Sure lets hook up at our usual spot| [person:our g(bob:ralph) 5-5]
bob| Yeah 5pm tonight|
ralph| Awesome now can we invite someone| [person:our g(bob:ralph) 3-3][person:someone u 5-5]
bob| Definitly why not|
ralph| Can we invite George| [person:our g(bob:ralph) 1-1][person:george m 3-3]
bob| No he is too full of himself i dont like his company| [person:george m 1-1][person:george m 6-6][person:bob m 7-7][person:george m 10-10]
ralph| Haha Are you forreal| [person:bob m 2-2]
bob| Yes maybe ricky He is so lively| [person:ricky m 2-2][person:ricky m 3-3]
ralph| Ricky is lively but judgemental he is choosy too| [person:ricky m 0-0][person:ricky m 5-5]
bob| So|
bob| you dont like him either| [person:ralph m 0-0][person:ricky m 3-3]
ralph| Yes I know someone else| [person:ralph m 1-1][person:someone u 3-3]
ralph| Walter| [person:walter m 0-0]
bob| Awesome he is the best give him a call| [person:walter m 1-1][person:walter m 6-6]
ralph| Right away|

conv:people_2019081802_98:aug_0:chat_0:chataug_0| eddie gerald| [person:eddie m 0-0][person:gerald m 1-1]
eddie| Hi Gerald How are you I need a favor from you| [person:gerald m 1-1][person:gerald m 4-4][person:eddie m 5-5][person:gerald m 10-10]
gerald| Hey Eddie I am so good What about you Why are you asking permission You can directly order me| [person:eddie m 1-1][person:gerald m 2-2][person:eddie m 8-8][person:eddie m 11-11][person:eddie m 14-14][person:gerald m 18-18]
gerald| I am ready to help you anything that you want from me| [person:gerald m 0-0][person:eddie m 5-5][person:eddie m 8-8][person:gerald m 11-11]
eddie| I am good and glad to hear your words I have some friends who are my class mates from my school| [person:eddie m 0-0][person:gerald m 7-7][person:eddie m 9-9][person:friends g() 12-12][person:eddie m 15-15][person:eddie m 19-19][location:school s 20-20]
eddie| We are all plan to go to a pub to grab a drink and we are visiting your working area So can you suggest some nice pubs for us| [person:we g(eddie) 0-0][person:we g(eddie) 14-14][person:gerald m 17-17][person:gerald m 22-22][person:we g(eddie) 28-28]
gerald| Who are your friends may I know them I know more than 3 pubs which are good| [person:eddie m 2-2][person:friends g() 3-3][person:gerald m 5-5][person:friends g() 7-7][person:gerald m 8-8]
eddie| Yes of course they are Phil and Rodger Which are the pubs you recommend| [person:friends g() 3-3][person:phil m 5-5][person:rodger m 7-7][person:gerald m 12-12]
gerald| What about the one that is near to my office which is my favorite place and I am always going there whenever I have free time| [person:gerald m 8-8][location:office s 9-9][person:gerald m 12-12][location:place s 14-14][person:gerald m 16-16][person:gerald m 22-22]
eddie| That is good I think Thanks Can you join us| [person:eddie m 3-3][person:gerald m 7-7][person:we g(eddie:phil:rodger) 9-9]
gerald| Sorry I have some work Will meet next time Bye| [person:gerald m 1-1]

conv:people_2019081802_101:aug_0:chat_0:chataug_0| robert walt| [person:robert m 0-0][person:walt m 1-1]
robert| Hello Walt So can we decide on our concert plans| [person:walt m 1-1][person:we g(robert:walt) 4-4][person:our g(robert:walt) 7-7]
walt| Greetings Robert Yes let s decide now| [person:robert m 1-1]
robert| I am thinking about going to watch a jazz music concert| [person:robert m 0-0]
walt| Will Mike and Jeff come too| [person:mike m 1-1][person:jeff m 3-3]
robert| Yes they will be coming| [person:they g(mike:jeff) 1-1]
robert| So first of all which day fits us better| [person:we g(robert:walt) 7-7]
walt| I think it is normal to presume that we will be free on Sunday right| [person:walt m 0-0][person:we g(robert:walt) 8-8]
robert| Yes Sunday is great|
walt| I know you like jazz music but I know that Mike and Jeff enjoy blues music| [person:walt m 0-0][person:robert m 2-2][person:walt m 7-7][person:mike m 10-10][person:jeff m 12-12]
robert| Well I also enjoy blues music| [person:robert m 1-1]
walt| So then we can go then on Sunday at a blues music concert| [person:we g(robert:walt:mike:jeff) 2-2]
robert| Yes it will be fun as long as we are together| [person:we g(robert:walt:mike:jeff) 8-8]
walt| See you on Sunday then| [person:robert m 1-1]
robert| Great See you| [person:walt m 2-2]

conv:people_2019081802_102:aug_0:chat_0:chataug_0| cynthia megan| [person:cynthia f 0-0][person:megan f 1-1]
cynthia| Hey I meant to tell you I ran into Jacob Clark a little while ago| [person:cynthia f 1-1][person:megan f 5-5][person:cynthia f 6-6][person:jacob m 9-9]
megan| Oh how nice Did he say where they wanted to go for dinner| [person:jacob m 4-4][person:they g(jacob) 7-7]
cynthia| No there s bad news about that They had something come up and we have to cancel dinner| [person:they g(jacob) 7-7][person:we g(cynthia:megan:jacob) 13-13]
megan| That s disappointing I was looking forward to it I hope everything s all right with them| [person:megan f 3-3][person:megan f 9-9][person:they g(jacob) 16-16]
cynthia| No just something with Jennifer s job that night We ll do it some other time with them| [person:jennifer f 4-4][person:we g(cynthia:megan:jacob:jennifer) 9-9][person:they g(jacob:jennifer) 17-17]
megan| Cool Well I guess it s just you and me then Why don t we have dinner that night| [person:megan f 2-2][person:cynthia f 7-7][person:megan f 9-9][person:we g(cynthia:megan) 14-14]
cynthia| Sounds good Should we do it a little earlier than we were planning then| [person:we g(cynthia:megan) 3-3][person:we g(cynthia:megan) 10-10]
megan| Why not How do you feel about going to that new steakhouse| [person:megan f 4-4]
cynthia| Great idea We deserve a treat and that seems like a nice place for it| [person:we g(cynthia:megan) 2-2][location:place s 12-12]
megan| Yeah we haven t had a nice dinner out in too long That s going to be fun| [person:we g(cynthia:megan) 1-1]

conv:people_2019081802_103:aug_0:chat_0:chataug_0| cynthia lara| [person:cynthia f 0-0][person:lara f 1-1]
cynthia| Hi Lara are you free right now| [person:lara f 1-1][person:lara f 3-3]
lara| I don t think so why did you ask| [person:lara f 0-0][person:cynthia f 7-7]
cynthia| My friend Marilyn is going to visit me today but I am currently busy so am unable to fetch her| [person:cynthia f 0-0][person:marilyn f 1-1][person:marilyn f 2-2][person:cynthia f 7-7][person:cynthia f 10-10][person:marilyn f 19-19]
cynthia| I wanted to check if you would be free to help me pick her up from the play school| [person:cynthia f 0-0][person:lara f 5-5][person:cynthia f 11-11][person:marilyn f 13-13][location:school s 18-18]
lara| Sorry I don t think I can help you now as I am going to meet Albert soon| [person:lara f 1-1][person:lara f 5-5][person:cynthia f 8-8][person:lara f 11-11][person:albert m 16-16]
cynthia| Do you think it would be possible for you to reschedule your meeting with Albert| [person:lara f 1-1][person:lara f 8-8][person:lara f 11-11][person:albert m 14-14]
lara| That would be quite troublesome for me and I wouldn t want to inconvenience Albert| [person:lara f 6-6][person:lara f 8-8][person:albert m 14-14]
cynthia| Just help me this once please I owe you a favor this is important to me| [person:cynthia f 2-2][person:cynthia f 6-6][person:lara f 8-8][person:cynthia f 15-15]
lara| Fine you owe me this time I will pick up Marilyn from the play school then| [person:cynthia f 1-1][person:lara f 3-3][person:lara f 6-6][person:marilyn f 10-10][location:school s 14-14]
cynthia| Oh my thank you so much I really appreciate your help| [person:cynthia f 1-1][person:lara f 3-3][person:cynthia f 6-6][person:lara f 9-9]
lara| No worries be glad to help you| [person:cynthia f 6-6]

conv:people_2019081802_104:aug_0:chat_0:chataug_0| jeffrey jeremy| [person:jeffrey m 0-0][person:jeremy m 1-1]
jeffrey| Are you ready Shall we go for the game| [person:jeremy m 1-1][person:we g(jeffrey:jeremy) 4-4]
jeremy| I am ready What about your roommates Are they reach Stadium in time| [person:jeremy m 0-0][person:them g() 5-5][person:them g() 8-8][location:stadium s 10-10]
jeffrey| Yes Ofcourse they are already on the way| [person:them g() 2-2]
jeremy| I feel hungry and I need to have some food before going to the game| [person:jeremy m 0-0][person:jeremy m 4-4]
jeffrey| Okay you can go to the nearest restaurant to the stadium and get lunch| [person:jeremy m 1-1][location:restaurant s 7-7][location:stadium s 10-10][location:lunch s 13-13]
jeffrey| I will ask any one of them to pick you up from the restaurant| [person:jeffrey m 0-0][person:them g() 6-6][person:jeremy m 9-9][location:restaurant s 13-13]
jeremy| Okay thanks And please inform me who are going to pick me and where Whether Alex or Andrew| [person:jeremy m 5-5][person:jeremy m 11-11][person:alex m 15-15][person:andrew m 17-17]
jeffrey| Definitely I will check and let you know| [person:jeffrey m 1-1][person:jeremy m 6-6]
jeremy| Thanks and sorry to burden your friends in this| [person:them g(alex:andrew) 5-5][person:them g(alex:andrew) 6-6]
jeffrey| That s nothing Don t worry|
jeremy| Thanks so much and I am going now I am so hungry| [person:jeremy m 4-4][person:jeremy m 8-8]
jeffrey| Okay bye|

conv:people_2019081802_105:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
malcolm| Hey Gregory Me and my neighbors Eduardo and Johnny will be going to watch a movie in your area so which theater do you suggest| [person:gregory m 1-1][person:malcolm m 2-2][person:malcolm m 4-4][person:neighbors g() 5-5][person:eduardo m 6-6][person:johnny m 8-8][person:gregory m 17-17]
gregory| Hey Malcolm Nice plans you got there There are some which I can suggest| [person:malcolm m 1-1][person:malcolm m 4-4][person:gregory m 11-11]
malcolm| Why don t you also join us so we will know for sure you will be suggesting the best theaters| [person:gregory m 3-3][person:us g(malcolm:gregory) 6-6][person:us g(malcolm:gregory) 8-8][person:gregory m 13-13]
gregory| Yes I would be glad to join you guys| [person:gregory m 1-1][person:malcolm m 7-7]
malcolm| Then which theaters do you suggest| [person:gregory m 4-4]
