conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
jason| I know a lawyer named Jeremy Shall I set an appointment to discuss about this| [person:jason m 0-0][person:jeremy m 3-3][person:jeremy m 5-5][person:jason m 7-7]
denise| No I| [person:denise f 1-1]
denise| No that s not a good option as he is biased towards you| [person:jeremy m 8-8][person:jason m 12-12]
jason| Do you know any other lawyer in the city who could justify both of us| [person:denise f 1-1][person:lawyer m 5-5][location:city s 8-8][person:us g(jason:denise) 14-14]
denise| Yeah I know a lawyer and we can go to him and discuss about this| [person:denise f 1-1][person:lawyer m 4-4][person:us g(jason:denise) 6-6][person:lawyer m 10-10]
jason| Then fix an appointment with the lawyer tomorrow| [person:lawyer u 6-6]
denise| Ok I will fix an appointment and let you know the timings| [person:denise f 1-1][person:jason m 8-8]

conv:people_chats_04182020_316:aug_0:chat_0:chataug_0| lee nirvi| [person:lee m 0-0][person:nirvi f 1-1]
nirvi| Hey Lee Matthew and Sam are at it again| [person:lee m 1-1][person:matthew m 2-2][person:sam m 4-4]
lee| They re still smoking in the apartment| [person:they g(matthew:sam) 0-0][location:apartment s 6-6]
nirvi| Yes I told them last week that it was a fire hazard and they were not supposed to do it| [person:nirvi f 1-1][person:they g(matthew:sam) 3-3][person:they g(matthew:sam) 13-13]
lee| What did they say| [person:they g(matthew:sam) 2-2]
nirvi| They didn t listen They said okay but they re still doing it| [person:they g(matthew:sam) 0-0][person:they g(matthew:sam) 4-4][person:they g(matthew:sam) 8-8]
lee| Well I think at this point you should take further action| [person:lee m 1-1][person:nirvi f 6-6]
nirvi| What would that be|
lee| Go speak with the Landlord and Tenant Board They would be able to get them to move out since they are not listening to you| [person:landlord u 4-4][person:tenant_board g() 6-7][person:they g(landlord) 8-8][person:they g(matthew:sam) 14-14][person:they g(matthew:sam) 19-19][person:lee m 24-24]
nirvi| I don t know They re good tenants besides the smoking| [person:nirvi f 0-0][person:they g(matthew:sam) 4-4]
lee| What will you do| [person:nirvi f 2-2]
nirvi| Maybe I should try to talk to them one more time before I go to the Board| [person:nirvi f 1-1][person:they g(matthew:sam) 7-7][person:nirvi f 12-12]
lee| I don t think that will work but you could try| [person:lee m 0-0][person:matthew m 8-8]
nirvi| Yeah I think I ll go talk to them tomorrow| [person:nirvi f 1-1][person:nirvi f 3-3][person:they g(matthew:sam) 8-8]
lee| Okay let me know how it goes| [person:lee m 2-2]

conv:people_chats_04182020_317:aug_0:chat_0:chataug_0| dave remy| [person:dave m 0-0][person:remy m 1-1]
remy| Hi Dave whats the box that you are carrying around| [person:dave m 1-1][person:dave m 6-6]
dave| Its a stack of premium plus crackers|
dave| Although I am not sure of how to eat them| [person:dave m 1-1][person:them g(remy) 9-9]
remy| You should try eating them with peanut butter| [person:dave m 0-0][person:them g(remy) 4-4]
dave| Thats a novel suggestion|
remy| Well It will be delicious and a good source of protien|
dave| How did you discover this combination| [person:remy m 2-2]
remy| I actually discovered this as a cheap snack in college suggested to me by my roommate Rita| [person:remy m 0-0][person:remy m 12-12][person:remy m 14-14][person:rita f 16-16]
dave| I like the idea but I don t have any milk| [person:dave m 0-0][person:dave m 5-5]
remy| What do you need milk for| [person:dave m 2-2]
dave| HAving peanut butter without milk turns my mouth into a dry putrid mess| [person:dave m 6-6]
remy| In that case you can make a soup I guess| [person:dave m 3-3][person:remy m 8-8]
dave| My friend Judas used to make a great soup with crackers before betraying me| [person:dave m 0-0][person:judas m 2-2][person:dave m 13-13]
remy| You can try it out too it easy enough| [person:dave m 0-0]
dave| Ill think about it Feeling a bit lazy right now Thanks for the suggestions though|

conv:people_chats_04182020_318:aug_0:chat_0:chataug_0| britney rafael| [person:britney f 0-0][person:rafael m 1-1]
britney| Hey Rafael Do you remember that our Anniversary is about to come| [person:rafael m 1-1][person:rafael m 3-3][person:our g(britney:rafael) 6-6]
rafael| Yeah Why would I forget But along with our Anniversary Katherine s Birthday is also coming up| [person:rafael m 3-3][person:our g(britney:rafael) 8-8][person:katherine f 10-10]
britney| I think this would be the correct time all of us will have fun and celebrate together| [person:britney f 0-0][person:us g(britney:rafael:katherine) 10-10]
rafael| I have an idea let s go for a family trip what do you say| [person:rafael m 0-0][person:family g(britney:rafael:katherine) 9-9][person:britney f 13-13]
britney| No not a family trip Let s celebrate together at home Because Katherine loves to be in home| [person:family g(britney:rafael:katherine) 3-3][location:home s 10-10][person:katherine f 12-12][location:home s 17-17]
rafael| On her last birthday we all celebrated in the home But now let s go out and we will plan surprises for her in this trip Because she likes surprises| [person:katherine f 1-1][person:family g(britney:rafael:katherine) 4-4][location:home s 9-9][person:family g(britney:rafael:katherine) 17-17][person:katherine f 22-22][person:katherine f 27-27]
britney| Yeah I know that she likes surprises But let s plan all this staying at home| [person:britney f 1-1][person:katherine f 4-4][location:home s 15-15]
rafael| Fine let s go to her and ask what she like s to do in this two plans on her birthday| [person:katherine f 5-5][person:katherine f 9-9][person:katherine f 19-19]
rafael| We need to plan a lot if she likes to go for a trip| [person:family g(britney:rafael:katherine) 0-0][person:katherine f 7-7]
britney| Sound s good let s go after her decision we will plan what to do| [person:katherine f 7-7][person:family g(britney:rafael:katherine) 9-9]

conv:people_chats_04182020_320:aug_0:chat_0:chataug_0| hudson lana| [person:hudson m 0-0][person:lana f 1-1]
hudson| Hey Lana here to check us out| [person:lana f 1-1][person:directors g(hudson:lana) 5-5]
lana| Hi Hudson Yup Got to check the terrain out so we can copy it| [person:hudson m 1-1][location:terrain s 7-7][person:directors g(hudson:lana) 10-10]
hudson| We need a steep hillside we got one right over there| [person:directors g(hudson:lana) 0-0][person:directors g(hudson:lana) 5-5]
lana| That does look perfect for our movie doesn t it| [person:directors g(hudson:lana) 5-5]
hudson| Yeah any clue who around who can landscape as good as that|
lana| They mentioned two local guys they say are really good Nate and Harper| [person:they g() 0-0][person:they g() 5-5][person:nate m 10-10][person:harper m 12-12]
hudson| That sounds familiar They wouldn t be brothers would they| [person:brothers g(nate:harper) 3-3][person:brothers g(nate:harper) 9-9]
lana| Yes those are the guys Heard anything yet| [person:brothers g(nate:harper) 1-1]
hudson| Same thing that Harper is supposed to be the only earth mover around here| [person:harper m 3-3]
lana| Well I say let s invite them to bid on our project and find out for ourselves| [person:lana f 1-1][person:brothers g(nate:harper) 6-6][person:directors g(hudson:lana) 10-10][person:directors g(hudson:lana) 16-16]
hudson| Alright think we are about all set| [person:directors g(hudson:lana) 2-2]
lana| Hold up do you think we should get some backup guys just in case they don t work out| [person:hudson m 3-3][person:directors g(hudson:lana) 5-5][person:brothers g(nate:harper) 14-14]
hudson| Nah I ve been hearing how great they are all day| [person:hudson m 1-1][person:brothers g(nate:harper) 7-7]
lana| Okay we are gonna go with Harper the earth mover and his brother Nate| [person:directors g(hudson:lana) 1-1][person:harper m 6-6][person:harper m 11-11][person:nate m 12-12][person:nate m 13-13]
hudson| Great then we can get this movie started| [person:directors g(hudson:lana) 2-2]

conv:people_chats_04182020_321:aug_0:chat_0:chataug_0| clyde virginia| [person:clyde m 0-0][person:virginia f 1-1]
virginia| Clyde Are you aware of the celebrations on fourth July| [person:clyde m 0-0][person:clyde m 2-2]
clyde| Ya You are talking about Stanley and Joyce right| [person:virginia f 1-1][person:stanley m 5-5][person:joyce f 7-7]
virginia| Yes Last time we missed it because of the weather So we can t skip it this time| [person:we g(virginia:clyde) 3-3][person:we g(virginia:clyde) 11-11]
clyde| Yup But I feel its better to approach them to know how to join| [person:clyde m 2-2][person:them g(stanley:joyce) 8-8]
virginia| So what should we present them| [person:we g(virginia:clyde) 3-3][person:them g(stanley:joyce) 5-5]
clyde| Even I thought about it for so long but didn t get an idea Tell me something about Stanley and Joyce preferences| [person:clyde m 1-1][person:clyde m 15-15][person:stanley m 18-18][person:joyce f 20-20]
virginia| I don t think so they will be expecting something from us They will be so happy by our presence itself| [person:virginia f 0-0][person:them g(stanley:joyce) 5-5][person:we g(virginia:clyde) 11-11][person:them g(stanley:joyce) 12-12][person:we g(virginia:clyde) 18-18]
clyde| Anyways Try to have a chat with them and get some idea if possible| [person:them g(stanley:joyce) 7-7]
virginia| of course Will let you know once i get it| [person:clyde m 4-4][person:virginia f 7-7]
clyde| Great Give me a call if anything pops up| [person:clyde m 2-2]

conv:people_chats_04182020_322:aug_0:chat_0:chataug_0| isla jordan| [person:isla f 0-0][person:jordan m 1-1]
isla| What do ou have in mind for valentines day Jordan| [person:jordan m 9-9]
isla| What do you want me to give you| [person:jordan m 2-2][person:isla f 4-4][person:jordan m 7-7]
jordan| I dont really want anything on Valentines day Isla| [person:jordan m 0-0][person:isla f 8-8]
jordan| Spending time with you is a gift enough for me| [person:isla f 3-3][person:jordan m 9-9]
isla| But I want to do something like Caroline and Gilbert are doing| [person:isla f 1-1][person:caroline f 7-7][person:gilbert m 9-9]
jordan| What plans do they have| [person:they g(caroline:gilbert) 3-3]
isla| They are going to hot bath and spa| [person:they g(caroline:gilbert) 0-0]
jordan| Yes but they have money for that so they can do that| [person:they g(caroline:gilbert) 2-2][person:they g(caroline:gilbert) 8-8]
jordan| You dont really have to follow your friends| [person:isla f 0-0][person:isla f 6-6][person:they g(caroline:gilbert) 7-7]
isla| Yes I know that Jordan but I am feeling a bit left out| [person:isla f 1-1][person:jordan m 4-4][person:isla f 6-6]
isla| Maybe I should give you a special suprise or something| [person:isla f 1-1][person:jordan m 4-4]
jordan| I can t wait to find out what you would do| [person:jordan m 0-0][person:isla f 8-8]
isla| Right now it is a surprise for me as well because I dont have any ideas| [person:isla f 7-7][person:isla f 11-11]
jordan| Haha I am sure you will come up with something great| [person:jordan m 1-1][person:jordan m 4-4]

conv:people_chats_04182020_325:aug_0:chat_0:chataug_0| adrian tedd| [person:adrian m 0-0][person:tedd m 1-1]
tedd| what if we had a barbecue| [person:we g(tedd:adrian) 2-2]
adrian| It would be fantastic honey|
tedd| I was going to invite David and Michelle we haven t seen them in a long time| [person:tedd m 0-0][person:david m 5-5][person:michelle f 7-7][person:we g(tedd:adrian) 8-8][person:them g(david:michelle) 12-12]
adrian| You re right I would like to have them here we only hope that there is a beautiful sunny day in any case better to mount the gazebo so the bad weather would not take us by surprise| [person:tedd m 0-0][person:adrian m 3-3][person:them g(david:michelle) 8-8][person:we g(tedd:adrian) 10-10][person:us g(tedd:adrian:david:michelle) 35-35]
tedd| Right honey I think I m going to get the gazebo in the cellar in the meantime you should prepare a list of everything you need| [person:tedd m 2-2][person:tedd m 4-4][person:adrian m 17-17][person:adrian m 24-24]
adrian| I would start with a list of food and drinks based on the preferences of our guests| [person:adrian m 0-0][person:them g(david:michelle) 15-15]
tedd| Perfect honey as soon as the list is ready i will make a trip to their local food market to pick up the items| [person:tedd m 9-9][person:them g(david:michelle) 15-15]
adrian| I think we will also need some coal to light the grill| [person:adrian m 0-0][person:we g(tedd:adrian) 2-2]
tedd| I think I should find some in town I ll pick it up later| [person:tedd m 0-0][person:tedd m 2-2][location:town s 7-7][person:tedd m 8-8]
adrian| Perfect in the meantime I will call michelle to invite them| [person:adrian m 4-4][person:michelle f 7-7][person:them g(david:michelle) 10-10]
tedd| Remember to ask them what type of food they like| [person:them g(david:michelle) 3-3][person:them g(david:michelle) 8-8]
adrian| Sure honey i will let you know| [person:adrian m 2-2][person:tedd m 5-5]
tedd| okay it s time to go or the shop will close|
adrian| Don t be late honey i love you| [person:adrian m 5-5][person:tedd m 7-7]
tedd| I love you too see you later| [person:tedd m 0-0][person:adrian m 2-2][person:adrian m 5-5]

conv:people_chats_04182020_326:aug_0:chat_0:chataug_0| maya nick| [person:maya f 0-0][person:nick m 1-1]
nick| Hey Maya Shall we add our names as volunteers in a marathon| [person:maya f 1-1][person:we g(nick:maya) 3-3][person:we g(nick:maya) 5-5]
maya| Yeah I would love to be a volunteer in the marathon| [person:maya f 1-1]
nick| Great I will give our names for the volunteers in the marathon| [person:nick m 1-1][person:we g(nick:maya) 4-4]
maya| Okay Give our names and please let me know the assignments we are assigned with| [person:we g(nick:maya) 2-2][person:maya f 7-7][person:we g(nick:maya) 11-11]
nick| We are assigned with separate assignments Maya| [person:we g(nick:maya) 0-0][person:maya f 6-6]
maya| What is my role in Marathon| [person:maya f 2-2]
nick| You will be handing out water at mile marker 12| [person:maya f 0-0]
maya| Okay what is your assignment in Marathon| [person:nick m 3-3]
nick| I will be at mile marker 15 offering first aid| [person:nick m 0-0]
maya| That s great Where shall we meet after the race| [person:we g(nick:maya) 5-5]
nick| Let s meet our friends Jace and Heather at their place| [person:we g(nick:maya) 3-3][person:friends g() 4-4][person:jace m 5-5][person:heather f 7-7][person:friends g(jace:heather) 9-9][location:place s 10-10]
maya| No I don t think it is a good idea| [person:maya f 1-1]
nick| Why do you think that it is not a good idea| [person:maya f 2-2]
maya| Because they both are dating and I don t want to indulge in between them I better stay in the downtown area and go out| [person:friends g(jace:heather) 1-1][person:maya f 6-6][person:friends g(jace:heather) 14-14][person:maya f 15-15][location:downtown s 20-20]

conv:people_chats_04182020_327:aug_0:chat_0:chataug_0| noah owen| [person:noah m 0-0][person:owen m 1-1]
noah| Hi Owen Just like you asked me to I talked to Luis| [person:owen m 1-1][person:owen m 4-4][person:noah m 6-6][person:noah m 8-8][person:luis m 11-11]
owen| Oh About Tiffany s baby shower| [person:tiffany f 2-2]
owen| What did he say Noah| [person:luis m 2-2][person:noah m 4-4]
noah| He suggested us to get baby clothes or soft toys for the baby| [person:luis m 0-0][person:us g(noah:owen) 2-2]
noah| He also said that we could get a Parenting book for Tiffany| [person:luis m 0-0][person:us g(noah:owen) 4-4][person:tiffany f 11-11]
owen| That s a great idea I like his suggestions| [person:owen m 5-5][person:luis m 7-7]
noah| I also asked him about the ideas you had in mind like gifting Tiffany a spa coupon card and a baby carrier for the baby| [person:noah m 0-0][person:luis m 3-3][person:owen m 7-7][person:tiffany f 13-13]
owen| What did he think about these Ideas| [person:luis m 2-2]
noah| He loved them I did too| [person:luis m 0-0][person:noah m 3-3]
owen| Cool Now that we have decided the gifts we ll go shopping for the baby shower tomorrow| [person:us g(noah:owen) 3-3][person:us g(noah:owen) 8-8]

conv:people_chats_04182020_329:aug_0:chat_0:chataug_0| macy nicholas| [person:macy f 0-0][person:nicholas m 1-1]
macy| I am not able to agree on the custody of Christine What do you say| [person:macy f 0-0][person:christine f 10-10][person:nicholas m 13-13]
nicholas| Even me too wanted to say you about the agreement of our child custody| [person:nicholas m 1-1][person:macy f 6-6][person:our g(macy:nicholas) 11-11]
macy| I would rather like to prefer about What the Christine likes| [person:macy f 0-0][person:christine f 9-9]
nicholas| I groove on where she should be spending more time with| [person:nicholas m 0-0][person:christine f 4-4]
macy| According to the agreement given by Bruce I feel like it was biased towards you| [person:bruce m 6-6][person:macy f 7-7][person:nicholas m 14-14]
nicholas| Yeah The same thing reminds me| [person:nicholas m 5-5]
macy| It will be better if we could approach a new Lawyer and get solved| [person:we g(macy:nicholas) 5-5][person:lawyer u 10-10]
nicholas| I was also disgusted and wanted to solve the trouble soon| [person:nicholas m 0-0]
macy| It will be solved unless we get a new Lawyer| [person:we g(macy:nicholas) 5-5][person:lawyer u 9-9]
nicholas| Yeah We should go to a new Layer| [person:we g(macy:nicholas) 1-1]

conv:people_chats_04182020_330:aug_0:chat_0:chataug_0| beverly duncan| [person:beverly f 0-0][person:duncan m 1-1]
beverly| Hey Duncan What are you planning to buy Randy for Christmas| [person:duncan m 1-1][person:duncan m 4-4][person:randy m 8-8]
duncan| I want to buy him candies and chocolate He loves them| [person:duncan m 0-0][person:randy m 4-4][person:randy m 8-8]
beverly| No he already has enough of it and is very unhealthy for a child| [person:randy m 1-1]
duncan| Then what do you suggest I should get him| [person:beverly f 3-3][person:duncan m 5-5][person:randy m 8-8]
beverly| Why don t you look for a new winter jacket for him| [person:duncan m 3-3][person:randy m 11-11]
duncan| Alright that s a good idea I ll buy him that| [person:duncan m 6-6][person:randy m 9-9]
beverly| Yeah that s a better gift than candies and chocolates|
duncan| Okay I ll look for Michelle because she knows what to recommend for a child| [person:duncan m 1-1][person:michelle f 5-5][person:michelle f 7-7]
beverly| Yes I love her recommendations She will pick a good jacket for Randy| [person:beverly f 1-1][person:michelle f 3-3][person:michelle f 5-5][person:randy m 12-12]
duncan| Yes Randy will definitely like it| [person:randy m 1-1]

conv:people_chats_04182020_331:aug_0:chat_0:chataug_0| adam rita| [person:adam m 0-0][person:rita f 1-1]
adam| Hi heard you were involved in something recently| [person:rita f 2-2]
rita| I am not sure what you are talking about| [person:rita f 0-0][person:adam m 5-5]
adam| did you not get together with a gang| [person:rita f 1-1]
rita| to do what|
adam| To pull some kind of job|
rita| where did you hear this| [person:adam m 2-2]
adam| from a grapevine|
rita| what grapevine|
adam| is that not true with you and john and jane| [person:rita f 5-5][person:john m 7-7][person:jane f 9-9]
rita| all right so we pull a few jobs| [person:we g(rita:john:jane) 3-3]
adam| was there any danger|
rita| some shooting was involved|
adam| why not go a bit smaller and avoid the fireworks|
rita| are you suggesting| [person:adam m 1-1]
adam| maybe|
rita| that may be fun we can meet later to discuss something| [person:we g(adam:rita) 4-4]
adam| maybe I can post online to see if any idea comes up| [person:adam m 1-1]
rita| that may be a possibility|
adam| well let s play it by ear for now|
rita| I think that is a good idea| [person:rita f 0-0]

conv:people_chats_04182020_332:aug_0:chat_0:chataug_0| kyle mary| [person:kyle m 0-0][person:mary f 1-1]
kyle| Hey Mary Shall we plan for a family trip together| [person:mary f 1-1][person:we g(kyle:mary) 3-3][person:family g(kyle:mary) 7-7]
mary| Yeah That s a good idea I think both of our kids Emily and Kyle would enjoy| [person:mary f 6-6][person:we g(kyle:mary) 10-10][person:kids g() 11-11][person:emily f 12-12][person:kyle__son_ m 14-14]
kyle| Yeah this would our first family trip right| [person:family g(kyle:mary:emily) 3-3][person:family g(kyle:mary:emily) 5-5]
mary| Yeah I guess this would be a memorable trip for all of us| [person:mary f 1-1][person:family g(kyle:mary:emily) 12-12]
kyle| Shall we go to an amusement park which is in the city| [person:family g(kyle:mary:emily) 1-1][location:amusement_park s 5-6][location:city s 11-11]
mary| No our daughter is scared of roller coaster but not our son| [person:we g(kyle:mary) 1-1][person:emily f 2-2][person:we g(kyle:mary) 10-10][person:kyle__son_ m 11-11]
kyle| Oh Then shall we of go to a water park which is in the city| [person:we g(kyle:mary) 3-3][location:park s 9-9][location:city s 14-14]
mary| No our son does not like to be in the water for too long| [person:we g(kyle:mary) 1-1][person:kyle__son_ m 2-2]
kyle| Yeah that s correct I think Universal Studios would be the best place to visit| [person:kyle m 4-4][location:universal_studios s 6-7][location:place s 12-12]
mary| Yeah That s a good idea We shall plan for that| [person:we g(kyle:mary) 6-6]

conv:people_chats_04182020_333:aug_0:chat_0:chataug_0| abraham madison| [person:abraham m 0-0][person:madison f 1-1]
abraham| Hey Madison Let s plan a Thanksgiving dinner party at our house| [person:madison f 1-1][person:our g(abraham:madison) 10-10][location:house s 11-11]
madison| Yeah that s a good idea Whom shall we invite for the party| [person:our g(abraham:madison) 8-8]
abraham| I was thinking to invite our inlaw s Harvey and Suzy to join the family festivities| [person:abraham m 0-0][person:our g(abraham:madison) 5-5][person:harvey m 8-8][person:suzy f 10-10][person:family g(abraham:madison:harvey:suzy) 14-14]
madison| It will be great if they join us in the thanksgiving party| [person:they g(harvey:suzy) 5-5][person:our g(abraham:madison) 7-7]
abraham| Yeah just try to call Suzy and see if they are interested| [person:suzy f 5-5][person:they g(harvey:suzy) 9-9]
madison| I m unable to reach Suzy Can you please call Harvey| [person:madison f 0-0][person:suzy f 5-5][person:abraham m 7-7][person:harvey m 10-10]
abraham| Even I am unable to reach him over phone| [person:abraham m 1-1][person:harvey m 6-6]
madison| I totally forgot They are on vacation and I think that is the reason they are not answering our phone calls| [person:madison f 0-0][person:they g(harvey:suzy) 3-3][person:madison f 8-8][person:they g(harvey:suzy) 14-14][person:our g(abraham:madison) 18-18]
abraham| Okay what shall we do about the Thanksgiving dinner then| [person:our g(abraham:madison) 3-3]
madison| Let s postpone it to another date|

conv:people_chats_04182020_334:aug_0:chat_0:chataug_0| andrea josh| [person:andrea f 0-0][person:josh m 1-1]
andrea| Hey Josh Everything was ready for the Anniversary party except DJ| [person:josh m 1-1]
josh| Yeah Andrea The final detail needed was about the DJ| [person:andrea f 1-1]
andrea| As we have heard great things about both DJ s Tony and Logan I am unable to go with one| [person:we g(andrea:josh) 1-1][person:tony m 10-10][person:logan m 12-12][person:andrea f 13-13]
josh| Those two were the best DJ z ever I have no particular in any one of them| [person:josh m 8-8][person:them g(tony:logan) 16-16]
andrea| The two DJ s style of music is the best I would rather go with both in circumstamces| [person:andrea f 10-10]
josh| I think Tony will be the suitable DJ for the Anniversary party What do you say| [person:josh m 0-0][person:tony m 2-2][person:andrea f 14-14]
andrea| I don t hope so Whatever I prefer your choice Josh| [person:andrea f 0-0][person:andrea f 6-6][person:josh m 8-8][person:josh m 10-10]
josh| Thank you Andrea For making my choice of DJ for the Party| [person:andrea f 1-1][person:andrea f 2-2][person:josh m 5-5]
andrea| You are Welcome Josh| [person:josh m 0-0][person:josh m 3-3]
josh| I am glad that finally we decide for the DJ s Tony for the Anniversary party| [person:josh m 0-0][person:we g(andrea:josh) 5-5][person:tony m 11-11]

conv:people_chats_04182020_337:aug_0:chat_0:chataug_0| aubrey sherrie| [person:aubrey f 0-0][person:sherrie f 1-1]
aubrey| Sherrie we need to discuss our dad s gift| [person:sherrie f 0-0][person:we g(aubrey:sherrie) 1-1][person:we g(aubrey:sherrie) 5-5][person:dad m 6-6]
sherrie| Yes dad s birthday is approaching and we don t have enough time left| [person:dad m 1-1][person:we g(aubrey:sherrie) 7-7]
aubrey| I was thinking of gifting him a golf club as he likes it What do you suggest| [person:aubrey f 0-0][person:dad m 5-5][location:club s 8-8][person:dad m 10-10][location:club s 12-12][person:sherrie f 15-15]
sherrie| I don t think golf club is a good gift| [person:sherrie f 0-0][location:club s 5-5]
aubrey| Do you have anything else in your mind| [person:sherrie f 1-1][person:sherrie f 6-6]
sherrie| I want to purchase a travel voucher for him| [person:sherrie f 0-0][person:dad m 8-8]
aubrey| Well that is also a good option But we need to select one| [person:we g(aubrey:sherrie) 8-8]
sherrie| What if Dany suggests us to take something else| [person:dany f 2-2][person:we g(aubrey:sherrie) 4-4]
aubrey| Cool let s ask her in the evening She will suggest the best| [person:dany f 4-4][person:dany f 8-8]
sherrie| She also knows dad the best among us| [person:dany f 0-0][person:dad m 3-3][person:we g(aubrey:sherrie) 7-7]

conv:people_chats_04182020_339:aug_0:chat_0:chataug_0| tania virginia| [person:tania f 0-0][person:virginia f 1-1]
virginia| Tania I m going to church will you come with me| [person:tania f 0-0][person:virginia f 1-1][location:church s 5-5][person:tania f 7-7][person:virginia f 10-10]
tania| I would love to go with you but Edward s basketball game is on the same day| [person:tania f 0-0][person:virginia f 6-6][person:edward m 8-8]
virginia| It won t take much time in the church you and Edward come and pray in the church and leave for the game| [location:church s 8-8][person:tania f 9-9][person:edward m 11-11][location:church s 17-17]
tania| The game is across town so we cannot make it if we attend the church| [location:town s 4-4][person:we g(tania:edward) 6-6][person:we g(tania:edward) 11-11][location:church s 14-14]
virginia| Okay shall we meet after the game then| [person:we g(virginia:tania) 2-2]
tania| Yeah we will meet for dinner at my home| [person:we g(virginia:tania) 1-1][person:tania f 7-7][location:home s 8-8]
virginia| Yeah but what are you planning for dinner Italian or Mexican| [person:tania f 4-4]
tania| I was thinking we could order in some Chinese food What do you prefer| [person:tania f 0-0][person:we g(virginia:tania) 3-3][person:virginia f 12-12]
virginia| Alright we ll have Chinese food at your place then and wish Edward luck for his game| [person:we g(virginia:tania) 1-1][person:tania f 7-7][location:place s 8-8][person:edward m 12-12][person:edward m 15-15]
tania| Okay see you at dinner on Sunday| [person:virginia f 2-2]

conv:people_chats_04182020_340:aug_0:chat_0:chataug_0| alice claude| [person:alice f 0-0][person:claude m 1-1]
claude| Hey Alice how is the work going on Are you free to talk| [person:alice f 1-1][person:alice f 9-9]
alice| Hello Claude work is going well and yeah I m free to talk Tell me what s the matter| [person:claude m 1-1][person:alice f 8-8][person:alice f 14-14]
claude| Dear we are thinking to purchase our first home did you find any| [person:we g(claude:alice) 1-1][person:we g(claude:alice) 6-6][location:home s 8-8][person:alice f 10-10]
alice| I m even searching for them did you find any| [person:alice f 0-0][person:claude m 7-7]
claude| I just got the information that our friends Neil Kenny have listed their home for sale| [person:claude m 0-0][person:we g(claude:alice) 6-6][person:friends g() 7-7][person:neil m 8-8][person:kenny m 9-9][person:friends g(neil:kenny) 12-12][location:home s 13-13]
alice| That s cool then let s meet them and talk about the cost and other issues| [person:friends g(neil:kenny) 7-7]
claude| But they said it has a lot of structural issues and they don t recommend buying it| [person:friends g(neil:kenny) 1-1][person:friends g(neil:kenny) 11-11]
alice| So what shall we do now Did you find any other to purchase| [person:we g(claude:alice) 3-3][person:claude m 7-7]
claude| No I didn t find any other I m still searching| [person:claude m 1-1][person:claude m 7-7]
alice| Okay don t worry Let s search together and purchase a beautiful house|

conv:people_chats_04182020_341:aug_0:chat_0:chataug_0| gus jaime| [person:gus m 0-0][person:jaime m 1-1]
gus| Hi Jaime are you free now| [person:jaime m 1-1][person:jaime m 3-3]
jaime| Hello Gus yes I am free Why| [person:gus m 1-1][person:jaime m 3-3]
gus| I am not satisfied with our parents Abigail and Keith s decision| [person:gus m 0-0][person:our g(gus:jaime) 5-5][person:parents g() 6-6][person:abigail f 7-7][person:keith m 9-9]
jaime| Even I am not happy with our impending move to Edmonton| [person:jaime m 1-1][person:our g(gus:jaime:abigail:keith) 6-6][location:edmonton s 10-10]
gus| I have an idea to stop our parents| [person:gus m 0-0][person:our g(gus:jaime) 6-6][person:parents g(abigail:keith) 7-7]
jaime| What is that Tell me about your plan| [person:jaime m 4-4][person:gus m 6-6]
gus| If we form a united front we can convince them to cancel the move| [person:our g(gus:jaime) 1-1][person:our g(gus:jaime) 6-6][person:parents g(abigail:keith) 9-9]
jaime| How did you know that they will convince| [person:gus m 2-2][person:parents g(abigail:keith) 5-5]
gus| I trust them they will understand our feelings| [person:gus m 0-0][person:parents g(abigail:keith) 2-2][person:parents g(abigail:keith) 3-3][person:our g(gus:jaime) 6-6]
jaime| No I think that the move is happening whether we like it or not| [person:jaime m 1-1][person:our g(gus:jaime) 9-9][location:edmonton s 11-11]

conv:people_chats_04182020_342:aug_0:chat_0:chataug_0| cynthia marvin| [person:cynthia f 0-0][person:marvin m 1-1]
marvin| Hi Cynthia Let s plan a trip for the following summer| [person:cynthia f 1-1]
cynthia| Hey Cynthia that s sounds like a great idea Europe is a beautiful place where we can go| [person:cynthia f 1-1][location:europe s 9-9][location:europe s 13-13][person:we g(marvin:cynthia) 15-15]
marvin| That s a good idea Which countries should we visit| [location:countries g() 6-6][person:we g(marvin:cynthia) 8-8]
cynthia| How about Italy or Belgium They are very famous| [location:italy s 2-2][location:belgium s 4-4]
marvin| Or we could ask mom and dad where to go because they ve been to Europe many times| [person:we g(marvin:cynthia) 1-1][person:mom f 4-4][person:dad m 6-6][person:they g(mom:dad) 11-11][location:europe s 15-15]
cynthia| I spoke to them they suggested to go to Spain| [person:cynthia f 0-0][person:they g(mom:dad) 3-3][person:they g(mom:dad) 4-4][location:spain s 9-9]
marvin| But don t you think England will be more fun| [person:cynthia f 3-3][location:england s 5-5]
cynthia| Yeah I agree We should spend some time in England| [person:cynthia f 1-1][person:we g(marvin:cynthia) 3-3][location:england s 9-9]
marvin| Alright let s go to England and Spain| [location:england s 5-5][location:spain s 7-7]
cynthia| Yeah that s sounds great I m very excited for the trip| [person:cynthia f 5-5]

conv:people_chats_04182020_344:aug_0:chat_0:chataug_0| bradley klay| [person:bradley m 0-0][person:klay m 1-1]
